Run,Generation,Individual,Fitness
0,0,0,103.06296417426148
0,0,1,128.04487444284993
0,0,2,82.5311681405741
0,0,3,84.70022586986337
0,0,4,102.09697859053199
0,0,5,99.24924378304638
0,0,6,127.4128122970439
0,0,7,41.1328411956666
0,0,8,83.33845339188422
0,0,9,76.40119252433384
0,0,10,109.0869968487959
0,0,11,58.96779146727826
0,0,12,146.53758878892992
0,0,13,33.74046803618765
0,0,14,144.84399539977937
0,0,15,55.23710692594174
0,0,16,68.36515917097634
0,0,17,96.1323942593848
0,0,18,90.0892914525844
0,0,19,112.23059687126896
0,1,0,33.74046803618765
0,1,1,40.95237916057035
0,1,2,41.37084228077754
0,1,3,51.99459203260789
0,1,4,54.26315722460838
0,1,5,59.85748086328018
0,1,6,60.53521647416251
0,1,7,61.16878766812506
0,1,8,62.398369397420396
0,1,9,65.08879753881726
0,1,10,65.616336076963
0,1,11,66.82263208968233
0,1,12,68.95374281779551
0,1,13,70.1963197497578
0,1,14,71.85382858059648
0,1,15,72.9367412924403
0,1,16,75.23667296083525
0,1,17,76.99722617800519
0,1,18,81.21947868454502
0,1,19,99.89170760184071
0,2,0,33.74046803618765
0,2,1,34.083826586497636
0,2,2,41.34189209722736
0,2,3,41.50439716630012
0,2,4,45.66968797868837
0,2,5,51.80382307063536
0,2,6,54.30105309612124
0,2,7,56.76248316432399
0,2,8,57.26117735883502
0,2,9,61.41648772965052
0,2,10,62.34612655485246
0,2,11,63.71744648543117
0,2,12,64.81800363477234
0,2,13,71.18851020075292
0,2,14,75.00361127308885
0,2,15,75.48300909107587
0,2,16,76.90407221579063
0,2,17,77.31219567776414
0,2,18,85.01764413910456
0,2,19,109.56173022828771
0,3,0,33.74046803618765
0,3,1,33.93403277831526
0,3,2,43.33460090269392
0,3,3,43.539774082739996
0,3,4,46.046521741670674
0,3,5,47.54636185827073
0,3,6,47.897583391697424
0,3,7,55.55152059856957
0,3,8,60.73057239056896
0,3,9,62.84889613952234
0,3,10,64.01169821630899
0,3,11,66.68457515715913
0,3,12,72.34715062351123
0,3,13,75.49829400249016
0,3,14,76.13149282664142
0,3,15,77.94154299303587
0,3,16,83.2219442982737
0,3,17,83.96784728891099
0,3,18,99.01408456086456
0,3,19,102.00285318775732
0,4,0,33.74046803618765
0,4,1,16.19935774779649
0,4,2,27.257439005431593
0,4,3,41.80672440865265
0,4,4,43.23518062256624
0,4,5,43.29470284008825
0,4,6,43.95268804271587
0,4,7,59.062570754661564
0,4,8,63.19267495333352
0,4,9,64.93753477037264
0,4,10,65.31550024891392
0,4,11,66.35854429382906
0,4,12,69.50593289556063
0,4,13,71.64496726325956
0,4,14,76.84689539536316
0,4,15,82.01647051006613
0,4,16,89.36329150665101
0,4,17,92.28243837180355
0,4,18,97.82613332499042
0,4,19,116.15764956989347
0,5,0,16.19935774779649
0,5,1,30.15012342929789
0,5,2,33.636147827491634
0,5,3,36.554318038060856
0,5,4,45.111241395191314
0,5,5,45.9663785042562
0,5,6,47.89973039798198
0,5,7,48.72298384337181
0,5,8,52.58874192859363
0,5,9,54.261858280148616
0,5,10,55.793109454146304
0,5,11,60.03147006084464
0,5,12,61.579612145226356
0,5,13,68.61946824590136
0,5,14,70.33979477803294
0,5,15,70.48213588253762
0,5,16,74.24628127689637
0,5,17,96.05280480056837
0,5,18,101.64805440604952
0,5,19,108.72076376876694
0,6,0,16.19935774779649
0,6,1,36.12222399857241
0,6,2,40.618233273938515
0,6,3,46.45590809139011
0,6,4,47.44518583740554
0,6,5,48.08942069089713
0,6,6,52.42890807468408
0,6,7,55.58006666276012
0,6,8,57.51251117943675
0,6,9,60.458662265179434
0,6,10,60.80145281958316
0,6,11,60.85097512997717
0,6,12,63.82923760018943
0,6,13,66.08703971871991
0,6,14,66.76037434834915
0,6,15,71.73028357187005
0,6,16,78.16492253689732
0,6,17,78.86426654964183
0,6,18,83.08798248749152
0,6,19,95.57578175391168
0,7,0,16.19935774779649
0,7,1,29.068403697004214
0,7,2,37.59569355038656
0,7,3,41.44687990453452
0,7,4,46.39423223204656
0,7,5,53.19869452366035
0,7,6,54.213433562346424
0,7,7,55.09615116341234
0,7,8,55.60731522728058
0,7,9,58.09342199508084
0,7,10,61.44367399988959
0,7,11,63.602011268329946
0,7,12,70.42720627071765
0,7,13,70.62268913649106
0,7,14,79.27356575824054
0,7,15,80.73426573395366
0,7,16,84.08099105505525
0,7,17,84.63991727736331
0,7,18,96.63290811230482
0,7,19,98.52825046859684
0,8,0,16.19935774779649
0,8,1,37.275837624431816
0,8,2,39.152353675129774
0,8,3,40.736338888395885
0,8,4,41.53098531341544
0,8,5,41.800119023883916
0,8,6,49.4436052611075
0,8,7,54.03786981828545
0,8,8,61.655804950265775
0,8,9,64.77729312789177
0,8,10,65.77093580403829
0,8,11,66.45817500504154
0,8,12,71.19856210530614
0,8,13,71.44018962143186
0,8,14,75.20663972876493
0,8,15,76.31506357006114
0,8,16,77.37850200321111
0,8,17,79.01980669798922
0,8,18,85.82719299493994
0,8,19,97.99423163090258
0,9,0,16.19935774779649
0,9,1,19.292805595925596
0,9,2,27.56754774078873
0,9,3,38.79388741834312
0,9,4,40.38222460525263
0,9,5,44.14888519997728
0,9,6,44.230607017381416
0,9,7,47.145990092881775
0,9,8,47.481974495600085
0,9,9,57.71323138743914
0,9,10,60.08744173675224
0,9,11,61.43050769222894
0,9,12,64.27714668560377
0,9,13,68.67983642671219
0,9,14,74.29423007142286
0,9,15,78.24857841024617
0,9,16,78.79864973162967
0,9,17,97.15936543490255
0,9,18,102.64805015705862
0,9,19,112.22616016196528
0,10,0,16.19935774779649
0,10,1,32.42819925527459
0,10,2,34.76936668327657
0,10,3,39.96207796911375
0,10,4,40.4109102527979
0,10,5,43.046403729661044
0,10,6,50.134864048124086
0,10,7,53.205245115730804
0,10,8,54.38383644979795
0,10,9,57.516109414998006
0,10,10,60.125186349034166
0,10,11,65.92903119658247
0,10,12,66.14600369377163
0,10,13,67.07463722916424
0,10,14,67.52925909798154
0,10,15,69.79163195042571
0,10,16,77.47443446593286
0,10,17,83.91120183027357
0,10,18,88.6038771580031
0,10,19,89.48067852582679
0,11,0,16.19935774779649
0,11,1,21.678623067177774
0,11,2,24.275954873614296
0,11,3,32.70939384004831
0,11,4,37.351032949801144
0,11,5,45.30380991854397
0,11,6,47.33641340883047
0,11,7,50.39480300636084
0,11,8,53.23304763202434
0,11,9,59.72462968174592
0,11,10,64.31652753494429
0,11,11,67.44834470099646
0,11,12,69.50371779203002
0,11,13,69.97636187513575
0,11,14,79.33475608377114
0,11,15,82.88564865970895
0,11,16,85.64215101052544
0,11,17,85.81610167433564
0,11,18,89.18232839202159
0,11,19,92.39876558121345
0,12,0,16.19935774779649
0,12,1,22.882174488727845
0,12,2,29.29091013145757
0,12,3,35.92211134716978
0,12,4,37.27037278870705
0,12,5,50.83486833786396
0,12,6,53.06121934429411
0,12,7,53.26165920906489
0,12,8,56.440690703337324
0,12,9,58.03400491841232
0,12,10,60.400397827656995
0,12,11,61.56434476028873
0,12,12,62.97471317611529
0,12,13,64.03297394937019
0,12,14,68.85657280768841
0,12,15,74.10758069498085
0,12,16,76.89074540981123
0,12,17,86.1972252717673
0,12,18,96.9564421048766
0,12,19,100.38453864394668
0,13,0,16.19935774779649
0,13,1,31.443347535981825
0,13,2,32.22031332214281
0,13,3,43.2998064103502
0,13,4,46.35921167054707
0,13,5,52.53197867792302
0,13,6,52.98190116059061
0,13,7,53.29798330644763
0,13,8,54.899510020576585
0,13,9,57.9168677570881
0,13,10,60.58539843969983
0,13,11,61.71676121186039
0,13,12,65.30008580936673
0,13,13,72.05743901431639
0,13,14,77.82117306153087
0,13,15,78.3722459165207
0,13,16,79.24569724607854
0,13,17,96.50214042682587
0,13,18,102.79770160825377
0,13,19,112.44911075480945
0,14,0,16.19935774779649
0,14,1,42.65340905666447
0,14,2,43.57766810616513
0,14,3,46.15586115465471
0,14,4,47.42326120891221
0,14,5,51.50572662751077
0,14,6,51.99880362367885
0,14,7,54.16509226410618
0,14,8,54.81792358699683
0,14,9,64.73970888274009
0,14,10,68.31258892838262
0,14,11,69.02889222905644
0,14,12,69.61863123318781
0,14,13,70.00266278980705
0,14,14,72.48320555539448
0,14,15,77.23632292295613
0,14,16,78.58853804699417
0,14,17,92.36871762377936
0,14,18,95.8968492288574
0,14,19,96.94595665675577
0,15,0,16.19935774779649
0,15,1,39.65443365809284
0,15,2,42.07607382793968
0,15,3,42.43473495680216
0,15,4,44.40052638332649
0,15,5,53.73204044280224
0,15,6,55.72083063473036
0,15,7,56.22808664237662
0,15,8,59.15384710018821
0,15,9,61.353295417270104
0,15,10,63.84761881177247
0,15,11,64.78020687922421
0,15,12,68.97456991624661
0,15,13,72.26180552371129
0,15,14,77.21168909379627
0,15,15,79.81785910413116
0,15,16,80.29964186501704
0,15,17,81.04936465667365
0,15,18,110.09820056934306
0,15,19,120.00920045043247
0,16,0,16.19935774779649
0,16,1,34.2795413721019
0,16,2,38.66306750576125
0,16,3,41.3422784317538
0,16,4,47.36127213900374
0,16,5,48.17255203216617
0,16,6,48.86692175520944
0,16,7,50.07571908751024
0,16,8,66.87949072422622
0,16,9,67.01443580714785
0,16,10,69.09193283349543
0,16,11,69.70331384688441
0,16,12,70.61651644761463
0,16,13,71.9506603896255
0,16,14,74.25210436774357
0,16,15,75.60858849086584
0,16,16,77.56043264008063
0,16,17,77.80132051508656
0,16,18,80.51785127894992
0,16,19,86.59055022209866
0,17,0,16.19935774779649
0,17,1,37.63447240219245
0,17,2,38.48202586084449
0,17,3,39.58870874966863
0,17,4,45.3613159729417
0,17,5,46.10399785439781
0,17,6,48.916088529243964
0,17,7,53.47920602934535
0,17,8,57.45411057307499
0,17,9,61.80245901310835
0,17,10,64.76712067961228
0,17,11,65.82028774136546
0,17,12,66.39083985484933
0,17,13,69.3812074685475
0,17,14,77.05532056275956
0,17,15,81.01338428621308
0,17,16,81.17604573994089
0,17,17,86.77670307256085
0,17,18,89.13091975587793
0,17,19,92.9343053286735
0,18,0,16.19935774779649
0,18,1,16.365447007714018
0,18,2,26.213999370139568
0,18,3,32.689606602185876
0,18,4,35.15663394559765
0,18,5,40.59064482575897
0,18,6,46.638624464139255
0,18,7,48.17480250401541
0,18,8,54.850138200560394
0,18,9,57.042593380170686
0,18,10,58.42710168330914
0,18,11,64.51039721369922
0,18,12,65.45009732240003
0,18,13,67.7356490805612
0,18,14,75.13543661481347
0,18,15,77.72255779278139
0,18,16,83.72285125101452
0,18,17,90.57872710554392
0,18,18,90.90116150326152
0,18,19,97.54334040781022
0,19,0,16.19935774779649
0,19,1,19.140468459041035
0,19,2,21.52464363203367
0,19,3,25.23457257263841
0,19,4,29.246968881562076
0,19,5,39.14494291301181
0,19,6,39.53559680552727
0,19,7,41.89607372821216
0,19,8,49.27844427670434
0,19,9,51.413255822480444
0,19,10,54.76298412739659
0,19,11,58.72328249456563
0,19,12,60.36777865721905
0,19,13,60.89595758589135
0,19,14,62.799285453567265
0,19,15,64.02077867678085
0,19,16,64.21213553796059
0,19,17,80.17212469446316
0,19,18,84.75338036077099
0,19,19,89.83869937071182
0,20,0,16.19935774779649
0,20,1,19.43949934323579
0,20,2,19.784665884197334
0,20,3,28.635549168934244
0,20,4,39.47385012258206
0,20,5,39.837797622802725
0,20,6,40.431875809063584
0,20,7,41.428489214945955
0,20,8,43.956763967569
0,20,9,52.59606041302914
0,20,10,53.88159431260064
0,20,11,55.089622286377335
0,20,12,56.75651956240642
0,20,13,64.93347530720212
0,20,14,64.9597975909364
0,20,15,65.74061701445373
0,20,16,72.72431504649498
0,20,17,82.7705235873124
0,20,18,85.46734293084171
0,20,19,98.07583866418379
0,21,0,16.19935774779649
0,21,1,20.007734311254076
0,21,2,20.607924949293288
0,21,3,31.734618160284004
0,21,4,36.35411108754349
0,21,5,43.09168555851308
0,21,6,43.62359632335077
0,21,7,45.80075423153678
0,21,8,46.30037444998804
0,21,9,53.52780113945123
0,21,10,57.39009055743667
0,21,11,58.57823556825135
0,21,12,64.6255589211519
0,21,13,71.79271996007381
0,21,14,74.99792743089596
0,21,15,75.01013076013874
0,21,16,80.01779108300508
0,21,17,84.54138531122305
0,21,18,88.02197605500848
0,21,19,90.58332636304331
0,22,0,16.19935774779649
0,22,1,28.036895818815584
0,22,2,30.179696279517056
0,22,3,34.311919816520216
0,22,4,40.083170857178835
0,22,5,45.62061445139814
0,22,6,56.14412100202562
0,22,7,59.735515576165
0,22,8,62.23279016252815
0,22,9,62.99891170863444
0,22,10,70.07913082370149
0,22,11,72.72636771613608
0,22,12,74.58512972078385
0,22,13,76.70875898562821
0,22,14,76.90596654994383
0,22,15,90.8124821732521
0,22,16,93.76656482503549
0,22,17,95.33503058026287
0,22,18,101.78744588402095
0,22,19,108.30769122540069
0,23,0,16.19935774779649
0,23,1,12.781016515098766
0,23,2,38.08805353444095
0,23,3,38.563950955344005
0,23,4,50.951623909139826
0,23,5,53.37331991335095
0,23,6,60.703847808140125
0,23,7,65.10935065409336
0,23,8,65.44009994283181
0,23,9,66.54767250190655
0,23,10,67.13896185073246
0,23,11,72.04586002279592
0,23,12,72.47094607765656
0,23,13,73.83034694575174
0,23,14,74.49660606508218
0,23,15,81.94304917130029
0,23,16,85.5898379573658
0,23,17,88.67635978358321
0,23,18,110.0728963293808
0,23,19,110.5669900592485
0,24,0,12.781016515098766
0,24,1,12.900388725349044
0,24,2,13.189850630623454
0,24,3,43.20737045638386
0,24,4,47.96566588621358
0,24,5,48.19219691473814
0,24,6,49.39158561628822
0,24,7,50.345119171219224
0,24,8,53.863830172818226
0,24,9,57.5117937854462
0,24,10,61.627187118725104
0,24,11,68.50040700575212
0,24,12,71.78523515682795
0,24,13,78.65742777882473
0,24,14,79.6393901839036
0,24,15,81.20721135775774
0,24,16,82.91374282596314
0,24,17,87.28737101694463
0,24,18,90.14020835387312
0,24,19,111.05159440098622
0,25,0,12.781016515098766
0,25,1,20.885750063054527
0,25,2,27.77444498221318
0,25,3,28.414350270003137
0,25,4,44.553459529256564
0,25,5,47.079800807513294
0,25,6,49.73626808952103
0,25,7,49.79896630136869
0,25,8,50.44576568054073
0,25,9,51.165374835604226
0,25,10,51.56248808639678
0,25,11,52.326068157896636
0,25,12,60.0799843772801
0,25,13,60.502048217801274
0,25,14,61.144087933526116
0,25,15,63.25830913532271
0,25,16,66.62821747700482
0,25,17,68.69015638195981
0,25,18,69.32744796202599
0,25,19,73.40202876806316
0,26,0,12.781016515098766
0,26,1,42.48735235141526
0,26,2,45.26909040592395
0,26,3,52.05780362074624
0,26,4,52.3196037815707
0,26,5,58.153881274287
0,26,6,59.0452322869606
0,26,7,65.96746253233368
0,26,8,66.68263613863384
0,26,9,73.17248729953688
0,26,10,74.4598985200612
0,26,11,75.54910882644899
0,26,12,76.2685753069353
0,26,13,78.98281116826692
0,26,14,79.45464858570745
0,26,15,80.3929008866807
0,26,16,85.97837784211981
0,26,17,89.40011317139951
0,26,18,90.80296907312564
0,26,19,96.80634193599016
0,27,0,12.781016515098766
0,27,1,37.04373737873605
0,27,2,50.58322989851396
0,27,3,53.75047890950191
0,27,4,55.33154594500487
0,27,5,55.76642559492306
0,27,6,56.954620419488286
0,27,7,59.01863344710387
0,27,8,63.59422256568253
0,27,9,65.61796605595866
0,27,10,66.86911736882404
0,27,11,69.59440039365556
0,27,12,70.8625579987091
0,27,13,78.10702982097771
0,27,14,78.99617225339149
0,27,15,83.974154629088
0,27,16,84.72141186021459
0,27,17,93.91829168777471
0,27,18,95.73644516399622
0,27,19,97.71953930712688
0,28,0,12.781016515098766
0,28,1,39.66280200322616
0,28,2,41.59783676938175
0,28,3,42.05620689428423
0,28,4,49.1050081882561
0,28,5,50.500850603706176
0,28,6,50.73902687848919
0,28,7,52.27993200582304
0,28,8,58.0637223040828
0,28,9,59.55423894749734
0,28,10,63.72410029656716
0,28,11,65.57450855014771
0,28,12,65.69981760283864
0,28,13,66.57648517991832
0,28,14,72.4322797111477
0,28,15,74.09532629116663
0,28,16,87.1674974872074
0,28,17,90.28520573107934
0,28,18,92.87894292539893
0,28,19,94.42002776574527
0,29,0,12.781016515098766
0,29,1,36.60862222146364
0,29,2,38.878225338435215
0,29,3,49.98136204760075
0,29,4,50.35851643150388
0,29,5,52.16713466218697
0,29,6,60.42889334197886
0,29,7,61.73023593760309
0,29,8,63.46048157647533
0,29,9,66.72534655717911
0,29,10,72.62604163742188
0,29,11,73.2480894665178
0,29,12,75.55409005703576
0,29,13,83.7567049212299
0,29,14,90.07332539153553
0,29,15,90.26896502702515
0,29,16,95.15835705769653
0,29,17,96.83713414463453
0,29,18,108.06851563896635
0,29,19,123.48133839664837
0,30,0,12.781016515098766
0,30,1,23.91845736230841
0,30,2,33.553584905704
0,30,3,47.05476755888868
0,30,4,48.728302814552514
0,30,5,53.78862862555026
0,30,6,60.71171643302795
0,30,7,61.90367857096404
0,30,8,63.57891624862015
0,30,9,67.83297956335613
0,30,10,68.09708483016983
0,30,11,68.93157055991415
0,30,12,74.20472638504542
0,30,13,74.39500420966688
0,30,14,75.32292086777802
0,30,15,76.01984024810987
0,30,16,85.64532017448684
0,30,17,99.65608698595122
0,30,18,100.16569923742477
0,30,19,103.19914159944713
0,31,0,12.781016515098766
0,31,1,22.87459055410919
0,31,2,36.33027506447562
0,31,3,38.22225775719886
0,31,4,45.84522134956944
0,31,5,49.223573400175525
0,31,6,53.99997022186128
0,31,7,55.37787482110012
0,31,8,58.43008978653796
0,31,9,61.32254603326684
0,31,10,64.18984043576779
0,31,11,64.69932319899875
0,31,12,67.28900949307544
0,31,13,68.02808308011232
0,31,14,69.30681507168465
0,31,15,79.72139594908646
0,31,16,80.81843839582035
0,31,17,94.00240449572672
0,31,18,94.42066605144659
0,31,19,96.32201237509632
0,32,0,12.781016515098766
0,32,1,14.00094812004468
0,32,2,23.514747768527002
0,32,3,37.65816779293452
0,32,4,40.90667476830354
0,32,5,46.348514046249505
0,32,6,49.80974938048179
0,32,7,50.03173211211654
0,32,8,51.60657218913389
0,32,9,53.07378815086186
0,32,10,60.554042880921926
0,32,11,60.78476317224598
0,32,12,64.62998755561738
0,32,13,65.55493361386264
0,32,14,67.27965637346462
0,32,15,70.46526288974684
0,32,16,72.45109630690935
0,32,17,76.35594904729555
0,32,18,77.2061795938818
0,32,19,84.06701351566888
0,33,0,12.781016515098766
0,33,1,28.951270676486505
0,33,2,34.00644273359922
0,33,3,37.574085497969854
0,33,4,40.28455629179636
0,33,5,47.55145371177625
0,33,6,47.91800332652638
0,33,7,49.85484678889928
0,33,8,50.17064372581892
0,33,9,52.9256645116073
0,33,10,52.96087677022554
0,33,11,53.95499866792252
0,33,12,56.931105688360546
0,33,13,63.4155352846919
0,33,14,63.59339559241068
0,33,15,63.715192418837674
0,33,16,67.49736549137349
0,33,17,73.32515248972193
0,33,18,78.04541280906801
0,33,19,80.35923758386231
0,34,0,12.781016515098766
0,34,1,18.625367203498907
0,34,2,19.04243974939617
0,34,3,43.78259846881024
0,34,4,43.869781140794416
0,34,5,49.182432795951584
0,34,6,50.05043493434268
0,34,7,53.07975697256835
0,34,8,59.76930522732594
0,34,9,63.312613471952034
0,34,10,65.25059723804448
0,34,11,65.36959035280347
0,34,12,65.55028439194997
0,34,13,65.6306582416197
0,34,14,67.33494823187434
0,34,15,71.41659916738942
0,34,16,74.09593939410051
0,34,17,75.32691029304854
0,34,18,86.64606435361708
0,34,19,96.45699341902692
0,35,0,12.781016515098766
0,35,1,33.94979473420187
0,35,2,36.31785891763639
0,35,3,38.44135400509625
0,35,4,39.14649681158711
0,35,5,46.700015916714975
0,35,6,50.82591563038703
0,35,7,54.11881487659583
0,35,8,58.579726436196765
0,35,9,59.476570480528515
0,35,10,60.63888322049027
0,35,11,61.462333867413065
0,35,12,63.09879367968432
0,35,13,63.768432359535666
0,35,14,76.00226714949524
0,35,15,90.14535836796381
0,35,16,95.66782095551375
0,35,17,99.83583583480346
0,35,18,100.64341385113983
0,35,19,121.78286391328565
0,36,0,12.781016515098766
0,36,1,34.67812652261419
0,36,2,40.150031724120495
0,36,3,41.215576725979375
0,36,4,44.75319512707777
0,36,5,45.52438480837059
0,36,6,45.78975732948449
0,36,7,45.79690010362351
0,36,8,48.94983869625474
0,36,9,50.57420231769182
0,36,10,53.165114635455744
0,36,11,60.554897675642714
0,36,12,61.95010944665208
0,36,13,65.85174039537358
0,36,14,69.08887803676292
0,36,15,69.61650055406565
0,36,16,75.80799204919865
0,36,17,77.51946481349766
0,36,18,79.12066424524367
0,36,19,84.17338614138076
0,37,0,12.781016515098766
0,37,1,39.6337733736016
0,37,2,41.00067449919427
0,37,3,44.04827710457158
0,37,4,51.083821214059576
0,37,5,52.97318585350566
0,37,6,54.8333235063878
0,37,7,60.04669182226811
0,37,8,60.22000643017299
0,37,9,61.6590494277056
0,37,10,63.30398244387663
0,37,11,70.73511891986391
0,37,12,72.617619411249
0,37,13,72.8961428283356
0,37,14,74.32632018039686
0,37,15,74.4479277777856
0,37,16,75.23771578096147
0,37,17,79.51677511604943
0,37,18,79.9591742146726
0,37,19,82.01962019509459
0,38,0,12.781016515098766
0,38,1,21.303445538049026
0,38,2,33.069489254789914
0,38,3,39.68560537376058
0,38,4,41.127685785076444
0,38,5,43.14759847030628
0,38,6,55.14413663164248
0,38,7,55.870144480393904
0,38,8,58.46114193309744
0,38,9,59.525175196563616
0,38,10,68.65738546768581
0,38,11,69.70687236533561
0,38,12,71.26231353008492
0,38,13,72.6845711107857
0,38,14,75.89519290390541
0,38,15,79.17788127505088
0,38,16,83.5843384700774
0,38,17,93.04165025011453
0,38,18,98.51134160094858
0,38,19,101.31333231601947
0,39,0,12.781016515098766
0,39,1,25.808439020004556
0,39,2,30.91499173159628
0,39,3,39.067522191088415
0,39,4,43.71498149930796
0,39,5,48.29402065195219
0,39,6,49.770229093386064
