Run,Generation,Fitness,Chromosome
0,4965,1.0572138503889832,"[-1.9962266868758434, 0.23316248764024294, 1.1278920452845114, -0.933363288780015, -0.3187469909501033, 2.0778218169348293, 0.7421952071126725, 8.359330022047743, -2.2591101796967905, -1.210987212291684, -0.04821330823494918, -5.3763491748578645, 5.624488971703727, -4.65908535611527, -2.794764353020355, -6.3102417455958175, -1.7772327377566626, 0.8322605507123626, 0.14171217873649766, -2.7393183875610703]"
1,4450,1.1077663349693527,"[5.362025629237451, -7.434654724510665, 6.054886147253228, 2.4869377902456336, -2.12426224268188, -0.8326031145544448, -7.165339278628153, 0.6157559408225097, -3.1806061050638164, 6.940801731287252, -1.6995329077379893, -1.4779176434101373, 1.3165970370215518, -0.6065635259956252, 0.889909987016722, -1.1000435864981455, -6.033589155348864, 6.079931300878684, -10.167516587735918, -1.8401757251016306]"
2,4756,1.0398183781678625,"[-2.2463249401259873, -0.4526942086898771, -0.7544834655034265, -2.6754954641332915, -0.1299240695991557, -1.2534433480705047, 1.195898409940014, -5.117790846354637, 2.96390244994177, -2.4932097001932334, -1.947614583842892, 0.5009233255090066, 0.6411032055181067, -1.1597429634032324, -3.2723398545330156, -2.040223240136129, -5.876613755809558, -0.29728829398754897, 2.825268205555517, -6.254898263756218]"
3,4716,0.9865527080334223,"[-2.828103685370479, 0.06068264296379766, -5.628482529630446, -0.7359999391368319, -1.1619951945967841, -0.5345066814504662, 0.4302002689572646, -8.922444588030203, -0.20933204987045428, 3.6437278242671027, 0.5540464587587621, 1.9821968657666957, 0.0782492055475359, 3.1595666769746913, -0.629681259686663, -1.1688126893589015, 1.9931470368163673, -1.13344434999658, 1.0157468009551849, -9.889851859564374]"
4,4831,1.0514261117097345,"[-1.492146222458473, 1.2655076388863336, 1.2122604795564484, -3.2623339734788033, 0.5531601862858224, -0.09802276940683896, -0.0993299558116405, -4.856451504987717, 6.927864368859218, -8.571747280737213, -0.41277413578745836, 1.655443440759882, -1.4723260452661862, -2.9633584719975943, -0.44241883878646604, 0.23229970748093365, -1.4723159118470903, -0.3967463646355327, 4.9547081594790825, -1.886028936248863]"
5,4754,1.0720911608291617,"[-0.29426276752110425, 1.8731690046961376, -3.7661455364928997, 1.7149040210615567, 6.537241912724539, -4.244042637203961, -8.383207420581698, 0.5554900296273217, -1.2525879333952616, 8.275854543601099, 2.1576453920591803, 0.005412236486336042, 5.335569574310284, -0.5831966040041152, 3.3488501648965894, -0.8546813539629738, -1.0436332656038303, -1.2903280389662086, -0.9643549338742332, -4.010095063351628]"
6,4863,1.0870031470431465,"[-0.09559636198400767, 0.4426653097794997, 2.979030125828558, -0.6592240276155508, -0.0034592481158597366, -1.5787501708246054, -3.969776132282277, 14.55789206401414, 4.221195315822001, -0.6598383074905314, 0.46524498127109837, -3.543179537994888, 3.0163676920972193, -0.9341944004064544, -4.067809499449368, 3.865312572138464, 3.874916518252917, 3.952728728090051, -1.3541448427224623, 1.8165436962003696]"
7,4984,0.9708383057704322,"[6.44222033210292, 0.0100771224856544, 0.2068431246932505, 0.7988614316324174, 1.1711596820912291, 1.3112225985245232, -7.324066615043648, -9.420952628380633, 9.320641425736198, -10.682660770938924, -1.577872218414882, -13.092289331450388, -0.07903437045376904, 10.323195245748366, 0.4794373992966712, 14.017121166312222, 0.15171642545772102, 2.5796348699764167, -12.282230620732776, 0.28438146842120204]"
8,4837,1.0653862508735514,"[-2.3196751157448716, 0.5089092930459174, 0.7888577156928704, 7.491080766382083, 1.4912197644279104, 4.737488148037528, 7.442228051545271, -6.446073287904028, -1.2123489589680503, -1.426097888859431, 2.125958139324439, -1.8875312338429922, 0.49646653752279235, 2.6765490732003627, -8.94347404288169, 0.5295298039781073, 0.8390314335331368, -0.7909006290924481, 0.09567984661043738, 4.64975448979078]"
9,4998,1.079152262365495,"[-6.229937277661975, 0.3952223316078971, -2.8142891152818947, 2.0054183933053764, -2.8150965537111006, -10.639884821667692, -0.2111671093921359, -4.880684141547249, -1.463956432401119, 0.9921929893804418, -4.887441445907484, 8.078691236012332, 0.35164375546617066, -1.6550694781993798, -0.506735636980352, 3.3321497317363082, 1.1466473101627344, -2.9125828906508104, -0.6156497985997476, -2.0158803885791485]"
10,4426,1.05264565099793,"[2.5949315596500355, -1.6751275788539033, -2.249956696666459, -2.4319182204318395, 6.496828560167046, -0.18334097037677566, -0.2107381922520517, -4.110530448104669, 1.4087630568076293, 2.5764700929963738, 1.5304453816487467, -6.244819835460248, 1.4647189066881765, -1.8386150165300705, 2.174567276997891, 2.248886533365294, 5.402763530195784, 0.41857914741774493, -0.6023074458962583, 5.985161295980561]"
11,3783,1.030270086350511,"[-0.4849143791635697, 2.476777412874412, 2.7062627650781224, 2.508738936574332, 1.5201141526712263, -1.7297367569140079, 5.864752514356383, 0.5057976039402092, -0.7972234210808438, -0.03577881019418783, 2.3217684670026983, 0.8192484542988723, -2.6922106059705584, 0.6578859805225648, -2.2647953164689625, -2.3412388274299474, -1.0021913466596288, -2.341634820655827, 5.116272472605488, -1.88306837910568]"
12,4513,1.0380280262999972,"[-1.465512532325306, -0.816835614092156, -0.021945076376937322, 0.5928126574571024, 0.04139141791949896, -2.1546042927471944, -0.6633247677980307, 0.29617681162551435, -1.7530699375297445, 0.003962939059761084, -7.404929049509633, -6.954477971269739, 1.5661728209187231, -2.0378297389145246, 0.37661653905411185, 1.4383814695969477, -4.090271477053534, -0.743863047998957, 0.06272195682379333, -4.539578454643902]"
13,4438,1.083070177470988,"[-0.7517433979285215, 1.4501484442774881, -3.432156620674391, 2.3810269851674093, 2.205260953685297, 0.5337457185956964, 3.4106937808925295, -2.6905530913456914, -0.21007633202862053, 10.499184556138403, 3.696678039746871, -6.600365835859407, -0.5850940055954652, -2.2716664840373824, 4.18446224866841, 3.657829440422802, 1.5312620021218208, 7.413310946911906, -3.4965902090408463, 3.842410616043935]"
14,4888,1.0466965192791324,"[-0.10556067765776334, 0.10054007716803426, -9.141682910109694, -2.313519191923774, -0.34259465160414493, 0.4486606777375073, -0.9733855060294445, 0.44193711851278294, 1.5174052628501613, -5.408852125915132, 2.328148515541784, 0.07552447405134899, -1.2437753469260997, 3.5400437717740942, -1.8993185170787683, 2.2590943195641557, 4.693706105149886, 1.5623190844156625, 0.6498635050891153, -0.7654817461367429]"
15,4799,1.0450308469208536,"[-3.716368304767002, 0.41756821464821314, -0.1401713173288499, -2.239719813214492, 5.22788820740152, 5.2268300614354075, 0.7307685728670776, 1.1743057534829404, 0.2022841178439876, -1.3639025280846226, 0.6701727484247613, -1.4029759369072963, 0.8046397669700127, 0.4499819226591626, -2.6588385876917755, 8.45355553599768, -1.4377508751878167, -6.083362666526, 0.3177350832262391, -0.1568124089463936]"
16,4931,1.0157801739062728,"[-2.3088532315605335, 0.2643990571172026, 0.2643685046976998, -1.7378864471884299, 2.301432688275213, 0.5486260528114144, 1.0876591961210806, -1.4076397845487918, -1.080330557322327, -0.7489121239103724, -0.7841408987521845, 0.3764872686954277, -8.220696439072071, 1.3431249484899581, 1.3566142768366944, -1.2333111086974213, -2.3661781454543416, -2.7766328672594227, -5.381233432128056, -0.3922466170382677]"
17,4995,0.9441261501636712,"[2.6196924278877987, -0.19411616414060973, -4.8874196056721075, 0.8032847431867367, 1.5203781287453921, -7.586666237317331, -0.15764235706387808, -1.757114097401768, -16.554517188127534, 0.6691090115941734, 0.8967188913430846, -0.1315787486893214, -1.2187843135695857, 0.1831766706277449, -1.6169186136535245, -0.0687189173418119, 9.88979288082544, -0.7578790361683332, -2.215743649936826, 0.09501173207581814]"
18,4989,1.0912134275581948,"[-0.07345137207221342, 0.5580465649642292, 1.253814350042603, -4.158112297654611, -6.754745163735379, -1.0036185291226047, -4.904747566540323, -3.320814443515701, -0.36971129274581926, -0.9054312327978096, -0.8510583104147145, -0.5497943449934155, -0.6176781775850486, -12.579182110713873, 2.4744852877832955, -2.3961286462497355, 0.2539945852602159, -0.10962534038037575, -0.021806728342312454, 8.332212276114433]"
19,4753,1.1000992898784412,"[3.848340679666535, 1.5467891915525342, -4.571199468411123, 0.363143779469965, 2.932515703793456, -3.321343226374438, 0.33043994841830227, -12.520769300635493, 0.7660952728887196, -0.9884064692063248, -0.818686227553826, -0.8379689846337897, -2.7838263441873323, -0.37000120713230444, -4.599948979477858, -0.5159251284957236, 3.3400091897680113, -1.2432930088385774, -11.707548925510991, 2.405517061580781]"
20,4695,1.0624573617827386,"[-1.3804758206802035, 0.5738581680764128, 0.5988477908501864, -2.9787091061117508, -1.2149770950039738, -2.3439303844384085, 5.057232217979049, 2.2740761503181375, -4.738906416406508, 1.5374715740601914, -0.2312723143088533, -2.0766597963756794, 1.1543128795968869, -8.373256835248071, -2.149304684634558, -4.317873289749514, 4.928185362837098, -3.481178416167495, 6.344443815456771, -0.30591581482508445]"
21,4904,0.9787162325139724,"[0.861585156401361, 0.6402723083317596, 0.054779544572738814, -5.739876284646698, 0.9144405002449503, -7.210514873978582, 1.308683163831006, 0.0779313894970528, 0.6219671366778812, 9.17350730994849, 0.18786049426682894, 8.006979594429708, -1.6498670710734586, 11.107051763886375, -0.18863620040553997, -0.13862458289520418, -10.889841344803472, 0.4861810002114453, -3.1350695642115625, -2.208464216874745]"
22,4993,1.0747431735065662,"[-1.7294941988150185, -1.9432307290742301, 2.5500813603296137, -1.4033674655296409, -0.844459314583105, 0.4622861476922253, -10.323743234194808, -3.1102007909280474, -4.851379575789565, 7.9709537844106535, -0.7912132141229904, 1.5865115239632814, 0.865124817258561, -0.9616426740903989, 6.381676188945221, -0.4225711414947, -4.539539508903317, -0.4493875226750106, -3.597941554908971, 0.06373508345984646]"
23,4426,1.107238152911742,"[-3.214401667151492, -1.3498414577654785, 1.7564459799439192, 2.937418634246683, 9.205521638096684, 0.5285997543387566, 1.3672063045946743, -6.325699598268329, -0.5203634608708398, 10.63563304573006, 6.654717672801212, -1.0678601072127094, 4.324264373669962, -4.492922324688607, -0.4553368109816347, -0.8581387705393126, -1.0443198508689875, 1.4805274301711506, 3.4881374294166108, -8.021193349896407]"
24,4846,1.061278199967366,"[5.245982618569656, 0.9886346475132086, -1.1071697748924407, 7.358116633836971, 0.27683703552088446, -0.4711683349260056, -2.318065018567836, -0.20879191676908704, 1.8560705449656325, -4.93515171959848, -1.6948885142927566, -4.433009586183289, 0.13649967150888642, 7.983215702220264, -4.879876762956201, -0.6026958192561551, -0.38413594081430347, 0.7269140575448318, -2.4211188410756677, -3.29845621196921]"
25,4740,1.0445883633450805,"[3.132378116061659, 1.1419168310019359, 6.288068647779596, -3.894096573694469, -0.9391114355242962, 0.8535047142299845, -1.5777288799671396, 1.503236926486693, 0.6066827336891265, 0.44932073479230894, -1.9123496422411108, -0.35307160067691257, 0.8221172141227271, -0.43750572267902044, 1.710276625515462, 4.400414872627266, -10.025652405426627, -0.44691731597811213, 1.6817641782532746, 5.113349249937073]"
