Run,Generation,Fitness,Chromosome
0,4998,31.268956860987203,"[12.554535911419482, -4.438027985257662, -0.0007537714696119685, -6.270539947981845, 63.04816424208437, -145.7227695966058, -0.0012096427650292794, 8.842999785750182, 0.0028266246269404434, -0.0052852085427015595, -0.0016364166646292149, 306.0944139441552, -0.0011389807408004509, 0.004599492727160993, 72.39929094121146, 0.00031136353137171946, 0.01745555564860568, -0.003588698595660123, 0.0008871709062528849, 13.899851780771982, 0.12006119113295181, 4.087708614792376e-06, 0.00019751899976099273, 0.0020295295352515466, 0.0013201511460439086, 0.5560186049581506, 0.00023768645128515535, 0.023955326145269025, 5.107265648416131e-06, 7.074703584341e-05, 0.0016183439377989363, 1.8249151547094644e-06, 0.013845778791372982, 1.244559324001597, 0.01253463832791096, 1.093118197890568, 57729133.40077625, 0.0312266186324374, 4.574518297658182, 74.3812162393214]"
1,4999,29.73953853978178,"[-339.3081533782669, -0.009872058864252421, 0.02255729402667142, -0.10749301866772376, 0.049230865212107344, -0.263401255080637, 0.09408091331008295, -0.5299528125988017, 0.1191446563045131, -0.047560466997806375, 0.05015405670272696, -0.06856790310409264, -0.027315620790167767, -0.10782002750594932, 1.3858596513013508, -0.3780640062241165, -1.529592680468754, 20.760817967609583, 0.09664691036854661, -0.2186094643595018, 0.004537907511419311, 0.001307184485914877, 2.412226390153241, 32.1698523385375, 2.545537827674776, 2.030790689426183, 1.2847817122758466e-09, 0.009342999884206652, 632.0712000595317, 465.204225200013, 0.08751626468988324, 0.00040126532726561417, 0.001297561708568902, 7546.651444847115, 6.862625122384424e-10, 131.3629031665497, 8.72159909401957e-06, 9.657134652903792e-05, 66.58258840075807, 2457342.1153847743]"
2,4982,0.9850943247880154,"[-4.734097574163155, 0.0036148966918896734, -0.00410467804053205, 0.008316216179526853, -0.004332166256303342, 0.6809240906658144, 0.003042731130841465, 0.00010892382391436244, 0.00029979890782197254, -0.4291814225675268, 0.0015771452712350464, -0.0012420677929528279, -0.001047518612585791, -0.008048392595527708, -0.0141642919973832, 0.006582019199915145, 0.1084387443685077, 0.006515279523333431, -0.016505390337516173, -0.005945034902164303, 8016959.480589601, 0.6643309559549382, 1962.244267351518, 0.1828294274511222, 1.204120752977099, 4.971965495966681e-05, 0.00028574049198638185, 0.030139877866972926, 0.026378871266889006, 122069.14574335846, 0.3215140061412412, 0.595325577396576, 0.007930647642036995, 0.28377776811022876, 77.36581924286689, 4214.343013114254, 626191.3483793638, 0.27324382261744473, 0.2418780903787758, 0.931412815370924]"
3,4998,8.080099771143853,"[3.112112577538682, 0.010119767234158434, -5.273967686010088, -0.005389226713604676, 0.014867122333857145, -0.010360095727802086, -0.05164745486908323, 0.047375674179919613, 4.544320996473312, 0.00964689424994112, 0.021244409543165088, -0.010827338763523122, -0.007287059339951732, -0.013669282232159005, 0.07196062295350647, -0.0029745564091780874, -0.0031492485965881416, 0.001625292687864932, -2.355931601513385, -168.66421314164734, 0.010283759476804709, 0.10630552038897295, 17.56491145846992, 2.630502560894353, 0.03849424497000583, 1.8936210459224219, 3869.4324559192537, 0.22580709231197396, 7320831050.557042, 7.560500459247071e-06, 1025.6203924867168, 0.08856125588904568, 0.516267246626762, 36.090026407083364, 36111.1353684856, 0.0012531683793329355, 1.7856630610732042e-05, 13.884016595448733, 2.423382933485409e-06, 0.0008189675597819155]"
4,4999,6.336141473482418,"[25.11341374268703, -4.436265975399423, 0.0003484020562126967, -6.329092413229354, -6.997908341407141, -0.00042899321053411533, -107.48462574079012, -1.137813278730864e-05, 0.0018720344528039348, -0.0003813490798814414, 5.176696769053742e-05, -0.005572113461018623, -2.364385970503613, -0.0004564460780961629, -4.4024971557659665e-05, 0.0002903787409648615, -23.93310223942671, -105.22687986239033, 0.044056221854210285, 9.649562788730187e-05, 2.282468253096563e-05, 1.394602510880487e-05, 0.10737597023228614, 38894841.74296607, 0.0018274101662810926, 0.001087589104291543, 0.0031829900598500105, 0.0018504435545919524, 62.22887425985567, 0.010749832642413614, 0.00022279428020691963, 17.10545201190038, 3.794395218978205e-07, 0.0018638611854154327, 0.0011911871437523991, 1.987403954892786e-05, 5.261025638337486e-10, 0.6519232426164172, 3.756471711302318e-09, 0.03678791106988771]"
5,4999,1.1282574927344537,"[3.1008071731319995, -0.01735528208400995, 0.09828961240336956, -0.005638480200836139, -25.163899263366897, -4.292373636166289, 0.007376344335551469, -0.08548853030322077, 1.7365233781918885, -0.16906069163153206, -0.006555132402498916, 0.0054805437508510125, 0.5783173795855081, 0.0031947057020701468, 0.041345052753350764, -0.030395874951950227, 0.0036049742702528942, -0.015509552653526932, 0.00505438542623539, -0.0143371564526927, 0.014872135140988932, 75468049.83009633, 0.003574859709828987, 0.30050427284196823, 6.930609319590499e-10, 189201116.44052446, 0.05009225319550428, 214150.17932836505, 3514032500.7541714, 5.179595573926428e-06, 0.0007458409660627372, 0.021611427064627584, 615.8560362941008, 0.013510301578929275, 0.00032186361516774143, 19.016543605869145, 0.0060394738027312435, 3.995380112550821e-05, 0.0010459657754943491, 2.5646702990761155e-05]"
6,4990,0.1458868743452567,"[-0.00023291448642904914, 8.874487596027912, -0.007164663867974055, -6.252438148531063, -14.095360823083045, -0.05185577812342715, -0.004367162038702481, -0.0014130689180525194, 9.359495660426877, -0.0006951688175139727, 0.0037461343041107174, -0.00261611610278065, -0.00010601925945786551, 0.009667747794642722, -0.017552668673599767, -0.00481937047296907, 0.009378021260261132, 1.257912339875265, 0.009636977141696493, 0.0226135805943585, 0.07940050445592561, 0.009468317380048778, 0.01287145062937714, 1.2328164346207333e-06, 5718.202806625221, 1015.356971709507, 4.798101296256023e-06, 0.00023253053908758547, 384.3872877671008, 0.006187984111550672, 0.15409620519489312, 2.1412175579097626e-08, 0.009318962832674374, 0.09629738278504066, 0.2343217630731109, 0.8038790242932542, 0.011118966309819667, 2862496.6167199775, 48.63617292011563, 954.9170070604699]"
7,4987,10.368611494656102,"[3.139881648921963, 4.437870101227443, -0.0010233130910618257, -6.26921143160255, 7.003620768929892, -0.0001009597151917464, -0.00035738814325450563, -17.692578745609694, -199.4114013176044, 0.06218037034147028, -0.013106544094023679, -0.030387925470663407, -0.00017284685196915852, -0.008163453904302962, 0.0013273902601805279, 24.90818360354256, 12.833117922980401, -0.0005615419762956265, -0.00835090620769055, 0.001962392384092388, 0.0026592959113684567, 0.0035166613754938772, 129.25294032318465, 0.0026616535107502385, 0.0035520187092727227, 0.014193644381270697, 4.125063573838453, 0.02604176357096589, 1.1372104640478029e-06, 258858.49553369184, 1.527938083065433, 1096.114074758334, 3.891712581093713e-05, 0.0002575396463243677, 0.0008430425216071026, 0.0001233069717855553, 0.2249637240906515, 0.029822123725544193, 2.5093960265599233, 0.003109655367031162]"
8,4997,1.149093275244203,"[2.9982250970719786, -0.0018121961212649508, -0.005314645849759627, -0.01509987727867157, 24.705424277889854, 4.339221840574669, 0.00015833430645902536, 0.02396903446475608, -0.00012236111307210634, 0.00011334021774168712, 9.448740665714175e-05, 0.0013498530027552013, 0.046815929525438976, -0.0011398144845210425, 0.0037223803769469675, -0.0034612641240334254, 0.08377190994929384, -0.0012782983381504822, -0.003320221909545734, 0.0002750755847506132, 0.006167373892623835, 1.2852723229253455, 189.4767348964292, 7.494027996921087, 3.863704323979239e-07, 104276027.08522661, 0.004564959419863837, 7.0095837501222755e-06, 0.06116914349887451, 0.00020797147096189773, 0.001445268583971195, 0.009075604126713351, 7.260664149824605e-06, 0.0049631105576273815, 0.005968788640551951, 0.004238529348754143, 5219.586095917192, 12.165230645942788, 29.185780785988435, 0.00848884227507245]"
9,4999,6.186068539786178,"[-0.0008960034159358007, -4.441114838253295, 5.431994958108678, -0.2648417154491547, 0.0011003567819871873, -0.0021673282958444527, -8.275191020765568, 0.004592733728376526, 0.0076716747538726, 9.852916440094694, 0.00037461717113678166, 0.02445935207030321, -11.223280451286096, -69.84873078913341, 0.011562112653082835, 135.68046823422472, 1.63813311670435, 0.010424055882221249, -0.007752039598787135, 0.0014209914242611886, 0.20547067297761454, 388.71759862351416, 0.0006495153519339638, 20.653406773812964, 0.00031255089221439875, 0.12434890305710104, 0.04205136205932571, 8.86975834675926e-05, 10.73978301763872, 0.0027966898161169928, 78.01307553348052, 4704.59243999989, 7.407154458826796, 0.00401293835804514, 0.31792872241619985, 0.0012773449827802538, 143.33568226345778, 1.3181538252052908e-05, 0.04608173687095714, 0.001649350241662028]"
