Run,Generation,Fitness,Chromosome
0,2848,-3.392341800092148,"[0.08554102758479476, 0.25081245735421853, -0.22234079408426854, 0.0794571577357075, -0.3377097421560149, 0.2348250215899228, 0.4103406482106109, 0.24211469999898272, 0.3592230211495664, -0.008488009670143626, -0.11189877872808385, -0.4111292316023978, -0.2958443375769988, 0.21641446234656003, 0.19059594936261126, 0.15701510943161257, -0.0392392975029725, -0.0883378020916965, -0.008301408350671169, -0.003147617328861152]"
1,3121,-3.11535684320536,"[0.09663277687331151, -0.002282529476417272, 0.14141266329186752, 0.0936566046714935, -0.16940733594990998, -0.03328567764087187, -0.024089531479986936, 0.09634900098770571, 0.07873975355139162, 0.06001130738296756, -0.011451900918189928, 0.2223529137311515, -0.015070477652135983, 0.3132517991609527, -0.2866846123404596, 0.1147352983068799, 0.20648320414410648, 0.25114854204092896, 0.02878075764643251, 0.05415203744300334]"
2,2457,-3.0123955615711466,"[0.2661256889277974, 0.28350384763863756, -0.10391068900131928, -0.12151327751908303, -0.07956126700528321, -0.08088461397893076, -0.12204501869825712, -0.020356281529402054, -0.06384878004927685, 0.1569823148559919, -0.225953260274677, 0.31649768159197955, -0.016385962427309053, -0.13518529629889886, 0.15898628795725722, 0.03234387929287896, 0.22440021640382546, 0.3053688920265225, -0.010288206100155683, -0.24557731428593987]"
3,4925,-3.0725587265333494,"[0.6678226386921906, 0.2511534499102126, 0.1397321044245805, 0.013059410719542974, 0.03441198411686264, 0.20371650683476705, 0.22122373635473314, -0.17310392655527718, 0.25476106739251403, 0.32273930244428817, -0.14182385363884098, 0.12530270172988178, 0.10333207131247102, -0.32791105662282294, 0.11727450231116499, -0.05498622175148049, 0.24847865333072994, 0.11231285159663407, 0.2062394259270648, -0.3195459278736218]"
4,1300,-3.266773118204425,"[-0.6222109059215791, 0.04834511081512094, -0.010707085204554323, -0.24945596859064412, 0.1456030765037104, 0.09421543752464423, -0.1441540678989255, 0.13392821895880958, -0.09201139975004424, 0.13265460164442833, -0.002018729962487198, -0.25885833399856684, -0.1516213824377417, 0.030007014105632335, 0.05308261430675065, 0.3000682636719545, 0.37126994880393194, 0.06071451232559211, 0.22969672796087903, -0.25554573416781245]"
5,1670,-2.4533968680637237,"[-0.08195552036521203, -0.12238913994078615, -0.20928744713480962, -0.21129978066590605, 0.07338150273366173, -0.0016003199542877766, 0.35324959626197283, -0.18190209042161465, -0.10279268050915391, -0.10452201554949703, 0.042627258573445515, -0.45273390486403886, 0.05514999952579336, -0.3228725489931711, 0.1653478461790998, 0.22783235688486458, 0.22853630702067051, 0.41528439621287694, 0.07520432783338382, -0.10328139849471096]"
6,2255,-2.855546151054998,"[-0.024833354002367747, -0.19131488949712128, 0.2218132681151943, 0.3391557586657341, 0.12851403102061343, 0.07504807073701292, -0.16076829686245087, 0.36209711053405624, 0.3539500029635232, -0.043496285462089945, -0.020478237003516364, 0.253912623687087, -0.045025350062313674, 0.214392325864319, 0.16887842989916657, 0.2269289022933072, 0.19099782545208632, 0.18608122108480796, -0.42368182854658243, 0.03895185821971836]"
7,3002,-2.9579498332403413,"[0.2870096099788444, -0.11235619567034405, 0.32980371172336387, -0.19862193203449596, 0.2500134855738383, 0.25889575523569697, 0.06538032207921218, -0.07729034074799701, -0.18825255971904675, -0.02473314787932135, 0.1844418715049423, -0.26331164459818157, -0.000991632004388343, -0.3378961896027681, 0.05260158727668207, -9.660174320913484e-06, 0.0457561540895437, -0.0697163364792146, -0.14230328449992946, -0.029987937100136364]"
8,774,-3.101808629958813,"[0.26305410433390275, 0.14095050571382983, 0.0945080774930116, -0.07174365303816277, 0.005780680313131281, -0.1346911385711551, 0.3992482568423523, 0.14027416284506922, 0.14253470095127763, -0.29776025480452495, -0.11647658132914906, 0.10482648088526503, -0.12200379412288576, -0.21201215289109343, 0.2759087067921371, -0.20562924999340937, 0.003468557906409986, -0.1073761723002793, 0.043109601982554535, -0.2646401117895425]"
9,3796,-2.8885313770925083,"[-0.4352540535335624, 0.40347815351362337, -0.01622727439847882, 0.1322249195863494, -0.14016589976064164, -0.3561198843242588, -0.35566498650530354, 0.04632551144288355, 0.12994785352362603, -0.0001913341993329265, -0.052572745799780884, 0.20353122367600918, 0.001973436157505004, -0.3213854802061522, 0.06068879932854143, -0.2777408426390964, 0.1680679511331673, 0.005221780137007581, -0.17416898553869875, 0.11337176911783775]"
10,326,-3.0042514588914293,"[0.43296416746132405, -0.4276660712381718, -0.43778789922350403, 0.07025801429115197, 0.41035119711327095, -0.05134568321709021, -0.3623436446683652, 0.2615681008538697, -0.33659493763720494, -0.22005328237418365, -0.1052952176916393, -0.25406286891440977, -0.06592056581252081, 0.39913595849990213, -0.07395792106608212, -0.03631957692436005, -0.17101125070403023, 0.18742647725360295, -0.27395812601818426, 0.18501752363452595]"
11,3128,-2.6996315004616434,"[0.06896551944861917, -0.1256939105090178, 0.4521961099465035, -0.388166129539502, 0.03367914666323979, 0.1712227487422222, -0.04799916654720793, -0.025721495266556538, -0.14913551876773234, -0.18732183069750707, -0.2022767538941448, 0.2865089923461235, -0.17241004046980102, 0.4017012034370808, -0.09451763496028343, -0.07069068796297362, -0.31476182232398087, 0.1898116753371224, 0.0036434314903650566, -0.025666831832168002]"
