Run,Generation,Fitness,Chromosome
0,2378,-2.928578085698474,"[0.4520421024144167, 0.4592496274907617, 0.2626166594274396, -0.21377318099680834, -0.2469473177027627, 0.3645094916503005, 0.08774971903058906, 0.03403889469189303, -0.3194171634587183, 0.3760568924465474, -0.019429869237914066, 0.028109506151827862, -0.0213255085779568, 0.4895996473375956, 0.12659063594438413, 0.21165494738243662, -0.22335654526523618, -0.050056918572666934, 0.23326651012278035, 0.11722518484150443, 0.9243989224347329, 0.19810037330051022, 0.47994564769950043, 0.3400088309721733, 0.24728331964211198, 0.2502576387351306, 0.0736096536329571, 0.07754056303340771, 0.04003294885409012, 0.01724039400881407, 0.795763881885769, 0.5074704639949867, 0.5557737706359239, 0.009580497961393738, 4.560496340263537, 0.4332736506038774, 5.249385304461101, 2.06293868622708, 0.24656505292717842, 0.11721010880434413]"
1,2293,-3.669713519212044,"[0.3139254698562593, 0.31551422596401285, 0.2800954863031779, -0.3168713560156469, -0.09172025849275417, 0.22846979477035922, 0.24658750068830093, -0.2834592330395732, 0.2749244667784424, 0.09607941874262746, -0.13445069556340639, 0.0467657628662552, 0.12224548251749001, -0.07443079580412355, -0.1764134867966582, 0.00970733774791721, -0.018672266624746307, 0.07417062046044194, -0.19945911621369417, -0.21746096399696824, 0.16233736686999506, 0.8838721477635821, 1.924055914648675, 0.05780508983382738, 0.038279138786641964, 0.06884031695129766, 5.070042394913962, 0.12633329881544145, 0.5435794223101269, 0.15631824233189506, 1.8461575331200353, 0.02195104071634825, 0.01919321029606337, 0.39554022751775914, 0.2900242173106444, 0.022287572364853417, 0.03910115293908838, 1.7111298744852728, 0.10560454596493475, 10.548311531720227]"
2,3366,-2.6781243830294263,"[-0.08396848969320563, -0.27690140450535633, -0.26115562059221376, 0.18150909769535453, -0.1034353498867144, 0.13463678260771691, 0.018491759804895584, -0.21180329888301969, 0.10038741469437076, -0.44914691292787723, 0.2695501003836924, 0.010183726272765883, -0.24733022039514402, -0.03161623011175722, -0.05509457239217147, 0.08487199736526642, 0.08198193870641653, 0.4660442755066104, 0.07272659941409078, -0.14873219954665298, 0.7019098670043246, 0.033031212480886675, 0.038322820605959235, 0.014744120074534786, 0.00028884447133309903, 0.19788763403825252, 0.10921157929983814, 0.0471683432180607, 0.5995476971884652, 0.5350967241743462, 3.0052852827418577, 0.3690620808750115, 0.12283621744659816, 0.012720876623973401, 2.7483181863692443, 0.685920039399538, 0.07507791884375616, 0.00016455699362908418, 0.06486553026537055, 0.08298660665806633]"
3,1520,-2.3623223976414067,"[-0.21536973222953407, 0.4325289251938783, 0.3901664685443195, -0.06535699279143314, 0.194769700290525, -0.23126444320368764, 0.13996314847046615, 0.3209188029093097, 0.003565525076881182, 0.05351618083300291, 0.1460475899640034, 0.2847933239827158, 0.16341729776456926, 0.1223205561606689, 0.04455898478046936, 0.13115213204018017, 0.09242568765115862, 0.40456022178418316, -0.42679347857160016, -0.17433867142050063, 0.2525017292716788, 0.06403983587381958, 0.0171030359618747, 0.8363823574823476, 0.12486291494305651, 0.41662848155460036, 0.007867482586733398, 0.01061800620061489, 2.4375783093002847, 0.9021740124879025, 0.25995572026988123, 0.21907767094810351, 0.24381968753288433, 0.5277005019235981, 0.0039025588602570344, 9.061992911464099, 0.05557811181792316, 0.002691854596240883, 0.0057927993871571175, 0.18863516270456562]"
4,4680,-3.570025342809764,"[0.2728766303010479, -0.12449368332460442, 0.2695557581862034, -0.27602728269359855, 0.11855323619395601, 0.16965959119371038, 0.18805896031948854, -0.34399465425529346, 0.17570841358780487, 0.0667128584505775, 0.02847076767927273, -0.3729786576212498, 0.08121260899123302, 0.06735884350316318, -0.30296183356371537, 0.14784907614902118, -0.03803852170443631, -0.08295719154668607, -0.12307590431521129, 0.02468910819625525, 0.043301809444870484, 2.8495763317101757, 0.05119046755496399, 0.17384575665164356, 11.632739260472464, 0.0006646907584382596, 0.12082814602649389, 0.18901870807842064, 0.5200965776394909, 0.28551791559925566, 0.280520288741989, 0.6151624731057488, 0.010331947153901075, 14.574692295177318, 0.5225407740903557, 0.07354273559656646, 0.2508323865800023, 0.21187146767147308, 1.853598293594112, 0.2984732408922993]"
5,4568,-3.3478976931040867,"[0.46353621391562533, -0.22519006201646932, -0.0624505860927799, -0.0849100755772445, 0.03939296258487708, 0.17453196532558968, 0.09413638579946332, 0.33086260325859135, -0.24684070995392943, -0.297670278395528, 0.3452530158378997, -0.18420331044412872, 0.18634451005809832, -0.05880909015794006, -0.03353426336601176, 0.07927041638401412, -0.3274640264762288, -0.006871073975361547, -0.26069261502033664, 0.17872074944061817, 0.03747046635554548, 0.18887970172943377, 1.5183951490530496, 1.490303314260344, 0.06522532401609792, 5.141593714122344, 0.06552426481391922, 1.403737590058246, 0.03905361443000842, 0.05570208245718397, 10.744659686006369, 0.2433436260849628, 0.2637199806229026, 0.999322215494188, 0.45465270634978444, 1.2062638812044968, 0.46289768072061827, 1.8633657060797253, 0.7905316089361382, 1.1391414041531485]"
6,3595,-3.481409491811662,"[-0.2156568883175324, -0.18192055440356103, -0.13385864727668084, 0.16350993795717128, 0.17956882559049075, 0.21895016315825877, 0.3261616541768965, 0.0378487332328931, 0.35047478060026427, 0.1812625366382233, 0.17394570676315277, -0.26356959575969013, 0.23890232238954412, -0.029044949230426498, -0.09438692430641196, 0.16112513883940024, 0.23506148320583814, 0.01281964200553895, -0.16726025537632216, -0.11325088766035234, 0.5989353181236822, 0.6919525038333241, 1.7736797204775703, 1.7029044438453436, 0.07783429209336937, 0.05495601776845984, 1.587832241249807, 0.06092476141227078, 0.28748292813704346, 0.04297468860871573, 1.2729330292114958, 0.0030692547131370906, 0.008454356062754532, 0.1971525292723912, 0.17185889290058984, 0.3370643467552438, 2.4416427500033775, 0.2791608206176011, 0.06515862264304323, 0.004799084839201291]"
7,286,-3.415659206297632,"[0.2786101952869905, 0.22753739379210802, 0.4939439010619603, -0.13810366668594673, 0.2988257132003609, -0.11501739825455785, -0.09157077593984664, -0.41758915359320803, 0.22442237464538517, 0.24396711930904225, 0.043143577851724596, 0.261814467232652, 0.26362336684680865, 0.13418008299063455, 0.25761057841025264, -0.018468246361618867, 0.06209800414125834, 0.22493426684234558, -0.03793552567280639, -0.20853264880786598, 0.36066978074754746, 0.06155449505925838, 0.032063932558170166, 0.0007210221849780424, 0.05257152646524796, 0.6156581867276205, 0.018110451886490676, 0.10127265047794051, 0.07139274421725664, 0.9795016335795388, 0.07305448511345299, 0.03784178757209283, 0.9006471400934188, 0.03861537025785343, 0.6616995875774976, 0.25919855297791955, 0.935319774910855, 1.5907980238121384, 1.6405178064608148, 1.2417274740190283]"
8,2127,-3.219825874115204,"[0.6428413184845744, -0.38999595911309864, -0.3658345374290964, 0.10721518905798927, -0.09793025392273264, -0.3630779080519902, -0.26579587059657317, -0.038545631875237324, 0.37642730891481874, -0.18389272408249863, -0.27584812961890326, 0.06788243761684513, -0.06501009369809951, 0.0831505881428327, -0.028793899257196595, 0.03703588068185156, -0.29106598261187266, 0.039646512793864996, -0.17190414669571477, 0.22240683947593615, 0.20913414520156373, 0.0438468556960183, 0.04277457210527066, 0.333175139019855, 1.7297677210509994, 3.5811623198470484, 0.12038468188730585, 0.49406838718377943, 0.017123578914545516, 0.8060846357765347, 0.10645984046473007, 0.09707239587390201, 0.2950424283304606, 0.051344213705673, 0.737305459585103, 0.5167643744232128, 0.10461666724803452, 0.191497877378536, 0.011826738821155543, 0.13728267927174234]"
9,4376,-3.8500168720441104,"[0.34744477452713, -0.08813801356906881, 0.436597155983974, 0.027711285633538668, 0.24782995162934668, -0.27687947415888214, 0.07348687011597826, -0.12313583268940456, -0.19952707575102857, -0.2503620556909138, 0.08600184135996844, -0.1162581423466344, 0.0922008905642369, 0.05370146875666459, -0.14180270834254155, 0.14755644752157382, 0.3401852255607853, 0.1317225447765865, -0.23079250437500215, 0.13847030055446188, 0.04040522909875144, 0.4543796920531802, 2.090540460276957, 0.4608576507281723, 0.04784101986870718, 0.061194745809918585, 0.27511166889007366, 0.3496631068490568, 0.10671024341301025, 1.9645510789386544, 0.4633872509256361, 0.0414845440766408, 0.1886106922649385, 0.06201541390719197, 0.11575214432887763, 0.06718907849773635, 0.002100555910904461, 1.0229771435181283, 0.661504817677547, 0.9429812845363198]"
