Run,Generation,Fitness,Chromosome
0,235,15.683346473275634,"[0.051628277869492756, 0.050628576947343795, -1.1073563664968553, 0.022884200834889512, 0.0086126417222685, 0.049131202756343306, 1.030624328022249, 0.07222405685516531, 1.001881243608282, 0.9633880165373867, -0.047196820212710655, 0.04206783668869196, -0.9587203584142774, -0.031344405049114954, -0.008772879483382567, 0.04273963167663286, -0.9805158932920452, 0.9869645102429585, -0.009305484604757552, -1.0461895343615462]"
1,298,25.53025465706392,"[-1.0993045578056009, -1.0056796719164725, -0.00414987763047403, 0.01108846030922539, 0.054811314984331005, 1.0267759933264378, 0.9867627917887445, 0.10927241561940004, 1.0036390895554828, 0.9988417447198321, -0.0783382244862274, 0.06622987144755932, 0.9854175025255509, 0.05613259703428053, -1.0521099834624374, 1.0762118307513449, -0.040932906350427345, -1.0120654878655229, 0.13651985602488015, -1.0608547724680388]"
2,282,20.667870299584763,"[-0.03748342545158678, -0.020521206486320942, 0.07361215534183341, 0.950350608990326, -0.9950377176815008, 0.013764330237182598, -0.050558051374667734, -0.9749148100824314, -2.05544731937556, -0.09947683870377322, -0.020736798379813237, 1.025156584339089, -0.03973945263466927, -1.0326786977728997, -0.9409163988722664, -0.0249127370785569, 0.9443474193796622, -0.08785897563027412, 0.9959347575334077, -0.005303606881487788]"
3,192,22.064111880214853,"[-0.9673852802008946, 0.02534163646891141, -1.0120165511550034, -0.056664356452857945, 0.9766059374994551, -1.0252171782902826, 1.0792073886841873, -1.0813206482540751, -0.886952114714278, -0.01426469161239119, -1.0643258336118286, -0.9770289495085835, 0.05494579035271574, -0.006631606676466895, 0.9386413744242805, -0.017187815651511507, 0.060662025680645826, 1.0391027571519302, -1.031495476423939, 0.029180172606808163]"
4,270,20.361572923235684,"[-0.9549563855298775, -1.021350383996091, -0.9935939060564145, -1.0271866755147538, 0.12673941275124, 1.0183623266972166, 0.09327668296044145, 0.058397192907847284, -0.01979292441216529, -0.9401654302038898, -0.0696480234441541, 0.010428411270024363, 0.008870460049508644, -0.01781738428845081, -0.08944458278219614, 0.08864803166681323, 0.04321257960473268, 0.06350651554759779, -0.9726569054950929, -1.0291379271398204]"
5,250,17.836712243411426,"[-0.02005906007171898, 0.015211909706922988, -0.09551478827363802, -0.0015005482530634495, -0.04117655424985944, 1.017135364520625, 0.03694168279339127, -0.07085012884611164, 0.9379039514081562, 0.05406611815212692, -1.0165099555374413, -0.030857024632356733, 0.11383988509586196, 0.9318865220619479, -0.9866107105991162, -0.07844626486640927, 0.9704455520742137, 0.9954482627856995, -0.021217445287755154, 1.0238007447608268]"
6,289,15.297671458204718,"[-0.017611261119363064, 0.9510781724641131, 1.0614034951928808, 0.9799357702773275, -0.03167971591856755, -1.0370705386814105, -0.09258721372417966, -1.0158917282681355, -1.0015290842697233, -0.07117203587480159, 1.0003203321902285, 0.00042326566052697245, -0.03746371260536918, -0.04718093474005869, 0.013237692275342994, -0.001492165825156988, 0.06955254396154409, 1.0149741966068317, 0.011872721573544354, 0.06755382813509314]"
7,287,15.78824683631396,"[0.02323281857010251, 0.008474217055104205, -0.08185687255758811, 0.008603850228113608, 0.004148109323319993, 0.9278846567825454, -0.059882780859920715, 0.059304096945186124, 0.9952801483861107, -0.9292696795297521, 0.9887165350886473, 0.07092146677518141, -0.003966528017553372, 0.009331402672010825, 0.004971728826973276, -0.07688408273362857, -0.9524044335074988, -0.0909821866939744, -0.06171300665720114, 0.949504810668806]"
8,293,30.05750501160972,"[-0.932387265721526, -0.8685093031748634, -1.0249081274824814, 0.03370145706863603, -1.0226830037403225, -0.025078042200415318, 1.0029776002307047, 0.14909911955218114, -0.9301045352450039, -1.0195950943184107, -0.9242835593566143, -0.9540122264433206, -0.9992914672886775, 0.10001350650254714, 0.9187526644717954, -0.015869743553718507, 0.07471385887571191, 0.032990894305536145, -0.9340543346681702, 0.9153734246202472]"
9,266,13.646953281547695,"[1.031151041655213, -0.005987719189631591, 0.10859618448843733, -0.012340477920374404, 0.0047981577960412025, 0.9920714218765445, -0.9501472842651912, -0.0392075378860941, -0.99622707757774, 0.05916840539054391, -0.021160703813341897, 1.0255107963190895, -0.006891457103283649, 0.9144354130801648, -0.01938045065251348, 0.010046884343061002, 0.022945082243947645, 1.0453420046553603, -0.036582392813894415, 0.03521769887566961]"
