Run,Generation,Fitness,Chromosome
0,299,13.936388529169648,"[0.9944351665042679, -0.9939224510723014, 0.9918342321692156, -0.0002718187883061974, -0.00028217841532361286, 1.9917384516512666, -0.0011673055808990526, -0.9941641774576622, 0.9941563831088219, 0.0014157570260236152, -0.002575134777328113, 0.0006294801340681486, -0.9968424468579082, 0.9959744652296548, -0.0003376728663974961, -0.994928701729196, -0.0016893696997807304, -0.00110493787536679, -0.9947177913004878, 0.9951505808922148, 0.0025719521336793655, 0.0007044738274419071, 2.2590729118776614e-05, 6.457590031622294e-05, 0.020176014396517537, 7.186646489347157e-05, 0.03645262262402541, 0.00039169902653962685, 0.00038305680380138336, 0.0001065928382045301, 0.00631413357227303, 2.5457470743523055e-06, 8.343713285444418e-05, 0.00020767954721207, 0.03109559807071942, 0.005741973376051335, 0.021416062416393454, 0.0013040588028405467, 0.0012015620308079885, 2.3440508154123506e-06]"
1,297,12.966673267832192,"[-0.00047762139095624103, 0.0008807007235946269, 0.00043505766965936044, 0.00016178535294061224, 0.003506848554981609, 0.9959275087644218, 0.995341336313911, -0.0018501501980854925, -0.9952085890300173, 0.9953687992881096, -0.002131018963012846, -0.9949706989992535, 1.004767541916004, 0.00605138254682748, 1.9901361376357716, -0.0007323791471806247, -0.9965517274790542, 0.9931767458225637, -0.00045976497200407406, -0.9954491750484442, 0.1069751402121687, 0.5995126075021034, 0.0010137934929372306, 0.0020139116089744587, 0.011625245992617737, 0.00023097981045113963, 1.7616419403597193e-06, 0.08143326143782784, 0.002517308227516804, 0.0014624205584441838, 12.586666648864243, 0.0022953270262423197, 8.206268471906528e-06, 1700.9952103425815, 0.00022677986144234758, 4.4405154842574824e-05, 0.00196871749063919, 1.2974339087648585, 0.005500025459752685, 0.030572360551738086]"
2,298,12.985488004612534,"[-0.0005260709323835521, -0.00031601530960603087, 0.00551714180184637, -1.9899039839916894, 0.013433610795368978, -6.206732706955879e-05, -1.9899789309500802, 0.0036513691994714613, 0.0009874422166299204, -0.0014125789933415694, -0.0008456555034823933, -0.0007360191444430134, -0.0005435288380487034, -0.005207853179626755, -0.00012016018353944627, 0.0004364817006972735, 0.00019580362327871112, -0.0005563344043292895, 0.9956369452632936, 1.9896251039785744, 0.0007634858341875408, 0.00012415731000086193, 73.78639595017587, 0.0015818292663515813, 761.9152674770198, 0.0008478824542315045, 7.83914311858762e-05, 0.002194149428397115, 0.021001482953219547, 0.41305015327289435, 0.0013388443834109938, 0.0009529063577446577, 0.00030517617728232705, 5.151631426335056, 0.009494842911378325, 0.008008178424617148, 0.0001216947176543645, 0.0015863423441624422, 0.00016635082773530947, 0.000349650201826809]"
3,299,23.0430651584918,"[-1.992066064999259, -0.9804661288300505, 0.0011167915790146069, 2.9864814468291923, 0.9939415074876157, 0.0022685263642237986, -0.00034354741576343457, 0.9940191749582669, -0.02254056520540859, 0.0014398753952404248, 0.9944070858906242, 0.00016849787244229537, 0.006716218667696776, 0.00034792366238474426, -0.003818491027571442, -0.9965839128067921, 0.9959456948262868, -1.9891903641330713, 0.0014039205697272126, 0.0009284729820253582, 1.654120861523099e-05, 4.811855119046898e-06, 0.000991435091376284, 0.001733266240056962, 0.02232182760688817, 44.993669219925806, 0.0011874372299468978, 0.00032688875970389485, 12638.547292228941, 0.00048671877916746533, 0.0014264378345170163, 0.00012192471903437344, 63.622534000522435, 0.011414330871840123, 0.019448099082562714, 0.001026032057921349, 0.020658372477859205, 0.0005460903235858663, 4.4728590644684145e-05, 1580.245777387039]"
4,299,5.03032699384238,"[0.01217630888287935, 0.9913038994985023, 0.005419217609855734, 0.0002935236085691216, 0.9949323966173292, 0.9956256334827218, -0.005525238467543013, -0.9975097366826455, 0.0007501450223312696, -0.0009767361376787373, -0.0017574888606679698, 0.9962011026713522, 0.004205978550363006, 0.0002157211940506134, -0.0019864274290697266, -0.0008961750329363246, 0.002642975874844092, -0.003388222582643499, -0.001885526074975327, 0.000889284005600054, 112.78015822630134, 0.00013466601686928256, 1.0497558460209684e-05, 0.0008502482056054156, 0.0003431293182589651, 0.0001695216770700811, 253.04150618218085, 0.0005712581124615224, 0.00012400878501365564, 0.004490163953239065, 0.0009417878240528962, 0.01025491641623595, 9.417399499294799e-05, 0.00019659512987896873, 0.017324341122919744, 0.01744954031557123, 171.68921885492202, 1.43855128613135, 0.40069585906816935, 0.040220870631899004]"
5,299,7.9733671166645195,"[0.9957593312077333, 0.0022388774912677424, -0.0008078266350229383, -0.0002580611217100259, 0.0005015792031675859, 0.000178975120178596, 1.9920763126282879, 0.00026331525493316493, -0.00026770233594769445, -0.9937037637531368, 0.006412557091148324, -0.0002693138121438813, -0.9971314618970942, -0.9932664068974375, 0.00039839089829402964, 0.0017767227399282668, -0.0014093752234893013, -0.0013158374391764602, 0.00017831259914109651, -0.0004165136155978603, 0.031088564509551275, 1.2100104007922827e-05, 0.00042004867204704303, 0.0010955253146783203, 0.01799982788321382, 0.00022307620123912506, 0.007645050617149718, 0.0009052088989602774, 0.003162709960597056, 0.0003403372695465937, 720.521872043754, 0.00025855393073973264, 0.00033844840361760373, 0.0033910949285385315, 0.009945223034783885, 0.010521194840543582, 1.3439784518648177e-06, 0.0028192685338734452, 0.0024137146550144315, 0.00021526484874352477]"
6,297,12.35064617295555,"[0.0019374525412828884, -0.0007804673214892744, -0.003558513441273494, -0.9972950703698844, 0.017003355896453673, -0.006566557319879914, -1.9894417796354018, -0.006463936186842727, -1.9791911906797994, -0.007565081992661697, -0.009599156817853002, 0.9910226453956841, 0.011194890265575259, -0.0349515832754308, 0.0046522594784641595, -0.9942970217720133, 0.0018788196465845844, 0.0003211781002242951, 0.002163461707225185, 0.9998827691437074, 0.21109435041552943, 0.0022078532156649226, 0.020506215375213105, 0.0004642736668875145, 0.20051442891261456, 0.00046628246750477604, 0.06795985442428434, 0.044224496216254475, 0.0016777106193460157, 0.005692370785125806, 0.001948514957952569, 0.05286288985020477, 0.35650685738636867, 196.15175691439873, 30.106683751064786, 0.00035489549663097423, 0.03655673158870707, 0.007538304494700772, 0.05063217966954709, 0.0005241422075217527]"
7,299,16.91761215416932,"[0.0005504971425961771, 0.00011547482433367506, 1.9905393598464771, -0.001011826104133801, 0.0004675451365536115, -0.9954806677274662, 1.9898154150194487, 0.0008224881159896173, -0.9950623123865722, 0.9980924865175226, 0.0007914675515155773, 0.0004650333125281203, -0.0014525054109670544, 0.9947294940847009, 3.3489793447580605e-05, -0.00016308207638102119, -1.989505437682093, 0.000694873676071076, 0.00015828875166825468, 0.9955131881255112, 0.005669322738887275, 75.84234714878052, 0.008218767961542488, 1.871899531832899e-05, 0.002527173369402115, 0.0001235467777654079, 5.33335741043076e-05, 0.0005394603651781885, 0.02990560924514661, 6.186044879730056e-06, 0.003719279260788435, 0.0014394481256494254, 1.1582308655589758e-05, 0.002069861504166774, 0.002278823976290211, 0.029655983301770283, 0.0006949830700394538, 0.0057296970842390695, 0.0005402191295596896, 0.0024458266143262534]"
8,299,2.3639080362372056,"[0.9940614006246412, 0.0037611463521799466, 0.0028218243492594856, -0.0099530140447215, -0.0022887571174705574, -0.005329439001590978, -0.00040314003810086943, -0.0011141465047972883, 0.004472681183866553, 0.029403308232561244, -0.001018104071261849, 8.805595903091466e-05, 0.001414358676334786, 0.0036453450172822047, -0.0016184293561734558, 0.0023691808926285134, 0.004760937758307254, 0.9852789222325948, -0.026062991436398727, -0.005238895285942811, 0.001988913713697451, 0.009956713016507364, 0.003775182300686329, 1.0741611312208676, 0.012488422461842794, 0.0011945959327903264, 0.9530301987743945, 0.004012737526328881, 0.05043915700379053, 0.00021338263321418066, 0.0008359800717607037, 0.024850377159951514, 4.1838130496920434e-05, 0.024555224628275762, 0.00615711818914528, 2.791242634176526e-06, 8.818763033743314e-05, 0.007305237637868027, 123.33556710339417, 0.0001168727871792779]"
9,298,5.984144819120559,"[0.0007567029121477224, 0.9937152716812383, -0.001529172777394983, 0.00039979598585346884, 0.9945920816030973, 0.9966393131861905, -0.002409398032052628, -9.363664153851195e-05, 0.9959937934678817, -0.0010171712886892293, 0.000384928065250431, -0.0017011346239188627, -0.001972085521879382, 0.001136699408105451, 0.00035131208553847507, -0.0003781022038178922, -0.0023548892782734874, -0.005260853464720827, -0.9988727945397801, -0.995089467778964, 6.678396820624005e-05, 0.02848473137299688, 0.022545081223527188, 0.0050304037148431804, 0.03575378025733384, 0.0239718972673086, 0.00033503454241550087, 0.00871755950130883, 0.0018121024322332636, 0.00020641123354023442, 0.00468389474219388, 0.025030678987350664, 0.0007526000718181858, 0.0011146764387906015, 0.012674558473739902, 0.4050401416722368, 0.016489939588792763, 0.06150174485978642, 2.4625879579889144e-05, 0.0008432572903598733]"
10,299,13.31672186756495,"[2.019631186345834, 0.0032326308714157957, -0.0012888566998125262, -0.0005490680209215115, 0.0005833176401845842, 0.0010059376325191431, 9.91133038224538e-05, 0.000288716188660644, 0.00024997284979959506, -0.0005656046005219446, -0.0013162680174733249, -0.9964065125430711, 1.988329802237983, 0.00048650738324109506, -0.001288173766026086, 1.026869486592606, -0.9955135916936494, 0.9936842545948624, 0.0004534926871322244, -0.9931410606779724, 8.472123651929993e-05, 2.1449205832949887, 0.009452113778297418, 0.0001434851716563813, 0.00020413242097006072, 0.017174392991358905, 0.5966397676328064, 53.4065265361419, 0.03358605193434837, 0.00708472068024894, 0.007848142137836682, 0.002097301037451333, 0.00018440251732261328, 0.0008003410012556871, 0.00047633049391433675, 5.274046584338643e-06, 0.0037552107199686864, 0.00016006253598835918, 0.26534043797148527, 0.06554701112152694]"
11,299,12.613656853961828,"[0.0007800941086119678, -0.011021742469485665, 0.00101277379758417, 0.0006499385644756776, 0.0007488372413971581, 0.0038508715879079806, -0.0003343930369662457, -0.0007316667390541766, -1.9949611119299848, -0.0002217643828552624, -1.0113887024436636, 0.006957008228325377, 0.0029964902525571723, 0.000159805859646994, 1.9916915366717274, -0.9415444671440301, -0.9966381197192896, -0.00017682821821584066, 0.9868801636003036, 0.004417255739786681, 8.745800194147686e-05, 0.6515261925227421, 0.0003556603922105189, 0.0010614235372041394, 3.5744458149358744e-05, 1.4677900586894911e-05, 0.028886927130402282, 0.005149499579601506, 4.276865780703883e-05, 0.2492814472663342, 4.409713535041544e-05, 0.006186497161270951, 0.23451743267521158, 0.001148708499721433, 0.00010078752238619932, 0.0027319598039744143, 6.143289244146135e-05, 0.001598083415266205, 0.002378920621959979, 0.0015087100573802725]"
12,296,12.968445566970956,"[0.0005795211319652113, 0.000206298109942116, -0.0017441548091068177, -0.994256786978301, 0.9932474488329202, -0.9955315710836559, -0.0007935555734387371, -0.0026777877510850974, 0.9969114167437626, 1.9876561344407744, -0.0011615075185057336, -0.001101469407502967, -0.0019803675923669977, -0.0017963482945081162, 0.000555252721201778, -1.9946578102109678, 1.0047979909887066, 0.0003873759036520513, -0.004123560952849426, -0.001001274667729236, 0.009800635807363707, 0.00013249057436964776, 0.0012631711226662754, 0.0017061872805849189, 0.0007490240087666785, 0.0003269678165762233, 0.0009928342273115916, 0.0071423124480019815, 0.0030195929233613247, 5.556011580182882e-05, 0.010975909009944123, 0.003841185002122379, 11.034363009804146, 3.841349643109709e-06, 0.6533484661103411, 6.695757848601308e-05, 2.46865323090939e-05, 2.9808824743051314, 1.4546870634874922, 0.004064725126324408]"
13,297,18.910140162437727,"[-2.985219627587159, 0.0012809263170053475, 0.003077150942745112, 0.9945620003145735, 0.0017249280289330447, 0.9958537329316592, 0.0003237398997031156, -1.9914990662841283, -0.9947816508655484, -0.00017669362007315136, -0.0010826076790948034, -0.0006692050419714038, -0.9923917568782725, 0.000506982108948709, -0.9948439988128002, 0.9943835239393127, -0.0013121856496464018, 0.000452069959115748, 0.0006542503571013917, 0.0009967744025820816, 6.849455532444359e-05, 0.0012215589991015688, 0.02995335011263111, 0.002206653438555103, 0.016890362031784244, 0.022773157798020784, 0.004290309721145704, 0.00038348771908941893, 0.0007479439410253663, 0.0013063670413718342, 0.00481776899950898, 1.0234086525096421e-05, 4.294367094779027e-05, 256.11877144275957, 0.009909224347529284, 0.3859549011291447, 0.0002626607550431949, 0.5247912795283036, 2.346642332452577, 0.030794010788048352]"
