Run,Generation,Fitness,Chromosome
0,453,533.336607228458,"[1.350495898679994, 1.137281496083026, 0.38626810073251594, 0.7539687944846154, 0.4520139468126043, 0.2799659296133754, 0.8639930948307244, 1.7115862828407105, 1.6301880359484997, 3.285195418691564]"
1,436,254.64117358776906,"[1.0241263866571009, 0.544900005863318, 1.1715873306076778, 1.0151682087109979, 0.7123114812506719, 0.8980997836051916, 0.5576284222480004, 0.048634612458667625, -0.6484926077816517, -0.32094755936984587]"
2,491,615.4459445549314,"[0.9569638523227297, -0.14548516914621956, -0.1307181541797835, -1.0046191236750284, -0.057520046637859146, -0.456325460495151, 0.559260415892247, -0.2380634584666419, 1.4890882835074963, 2.3411816380215518]"
3,467,281.28883337740376,"[-0.42576601657291313, -0.7801253301391577, -0.10351175754114106, -0.3630088451900244, -0.2342685691438824, 0.08935752613829084, 0.4975576848133185, 0.7819014585201218, 0.11845121874319631, 0.4845772719263195]"
4,425,1028.9262608240929,"[1.065260447739436, 0.5296792718248478, -0.22484355779487064, -0.8907350404596279, 0.9346412948303771, 0.15417239665714977, -0.13530712344499118, -1.14303431369407, 0.8529515242157659, 3.2858877433872626]"
5,430,832.4339813267197,"[-0.3194566253777831, 0.17584785875296927, 0.4433349447206698, 0.09362682740420691, -1.544715782116148, 1.5640775558219362, 0.954442480896355, 0.11642212332286661, 1.0803542762712723, 0.19625828961278202]"
6,452,417.6281425382888,"[-1.0067160142892737, 1.2256106105652167, 0.55562028284763, 0.6259236193838067, -0.008812923999422573, -0.5393235846010329, 1.0758939520669841, -0.18497335405109805, -0.35816473399542215, 0.11384665051638798]"
7,72,366.0264282877448,"[0.5426675804606171, -0.33740866520508384, 0.11842883567742923, 0.16630718204335526, -1.1925897212393215, 1.0426906372509155, 1.1669176286752085, 1.1510270895556074, 0.6090861616390395, 1.3491340971666093]"
8,364,381.64056205226285,"[0.8577739730752088, 0.6080184675052358, 1.1323981869149948, 0.46449162413077705, 0.8503806429975391, 0.25603138274180637, -0.42908933973278707, 0.9128135029046573, 1.7084078978100399, 2.326300302621818]"
9,243,314.5774944445775,"[0.007843619197453577, 0.3087737589175017, 0.7480241711668771, 0.13735513175976966, -0.6702308966261183, 1.1323096162184552, 1.3442428230139436, 0.8308455525267444, 0.01431473111653947, 0.17085819995162677]"
10,421,774.4634423444081,"[-0.7514105545004632, -0.05649634814072435, 0.8425541438821673, -0.5302658689775477, -0.9881624439098733, 0.4394532747522746, 0.27855819081543043, 1.1060490086678536, -0.12855171124391251, 0.46131158779657344]"
