Run,Generation,Fitness,Chromosome
0,4993,17.611160848106614,"[0.46890400817934075, 0.23249103769580515, 0.06473282028948098, 0.014365311855250761, 0.01039906544420039, 0.010192913391203323, 0.010215436549833277, 0.010082247917468026, 0.010400656081347567, 0.01803815909139208, 0.00988689282345832, 0.010205176169477592, 0.010191818129379299, 0.011373007279131351, 0.010343800090219357, 0.010257731831884213, 0.010249711991799627, 0.010153630196220492, 0.010179388044280906, -0.003971995156395141, 203.15586991901947, 0.00012993937340843864, 0.0019199791133767134, 0.00022441824001095986, 0.0018540753053110594, 0.00016386026385035264, 0.3680406816502305, 378086.2890970816, 0.0032322426757811747, 1.5016900221838648e-10, 1740.050942945353, 0.00022653407935139999, 0.001769939176552341, 2327.3768104190003, 0.011334743808032779, 0.012103994176706623, 6.579604061521683e-05, 0.17065690003559966, 5.53935215744412e-05, 2.0296606320480945]"
1,4827,1.6383688802733531,"[0.9935495727902354, 0.9871002611773644, 0.983822729506258, 0.9817262222288605, 0.9724068317137088, 0.9776309004904419, 0.9722287111387028, 0.9536924618587345, 0.943883402284069, 0.9728009920794306, 0.9881183920062204, 0.9821723603865581, 0.9678519014492545, 0.9684846046951914, 0.9536164918476695, 0.9156118211038755, 0.8412456540466575, 0.7167405114350188, 0.5180554154577662, 0.2681443853120703, 0.004740785280236871, 151.71983036284342, 8.389637095151096, 8.29244550952102, 91.60916446604215, 0.01522489412245996, 0.12352235070377798, 461.7006827411439, 369598.91217839386, 0.01624945307736976, 16.21228305528286, 0.015337202920880528, 20.47638601907645, 0.2217102505573478, 0.07355403173893976, 0.009974017159138548, 6.3174183966646655, 5.786265526332086e-05, 0.02630234157494457, 0.06492142432486121]"
2,4974,22.5090363928772,"[0.532080758428924, 0.2784003611037349, 0.056039030793317214, 0.013216882414817693, 0.010095859978864672, 0.010768609793093126, 0.010557849235418526, 0.010153387836277308, 0.011254369073654066, 0.010969376303640829, 0.01206112580044585, 0.010203434309761865, 0.010134635640925971, 0.010704570505711164, 0.01874551782000092, 0.23453650790459715, 0.06564234768622275, 0.014337259919272047, 0.010150196186571163, 0.0153734190108126, 0.0337619928784972, 0.0035730407315032933, 1.8410099191343033e-06, 0.0027133501616569936, 0.0007761013677271586, 6.135376219019273, 0.029514491683199928, 0.010962046162251155, 0.1748333361431812, 0.06770984102020235, 9.150414559180057, 0.0075787688904862495, 0.001309557732736977, 0.028653458634238026, 0.14220863007054046, 26423.44549596698, 0.0015293110397488919, 0.004117386525661954, 0.02862303812921395, 127.90339275723719]"
3,4945,12.184406740320867,"[0.9831641894547829, 0.9662532046508508, 0.9364553073162907, 0.8834949389209368, 0.7857039076419337, 0.6290707213541524, 0.4033031127174609, 0.1741008280743183, 0.03945688211964699, 0.011419700138933064, 0.010247205688662693, 0.010209730564621898, 0.010570690357225713, 0.03797219998997162, 0.011582685787401358, 0.010284984358583693, 0.01033517085321473, 0.01058194835295781, 0.010547159218968956, 0.00021759505418736738, 0.009229528650500102, 0.09303030325596193, 0.1618420172655965, 0.2756053910087999, 22.63612799874006, 0.01273369154934648, 0.1751320437267341, 0.00026683076405280927, 13.432367621868723, 0.0025088593836764942, 0.0004114861689716746, 0.00043953956183343066, 0.35197913973337136, 497.6872848285966, 0.0038708930338570346, 0.05555947183881908, 8.202071652164145, 0.22639035589910572, 1.562332504561767, 0.365971875742644]"
4,4973,7.546442282633317,"[-0.9939009541822214, 0.997855938489096, 0.9991288834614809, 0.9992827941043672, 0.999178751140533, 0.997595310564083, 0.9945054607797368, 0.9857257519384544, 0.9702872255402156, 0.9407526701190914, 0.9475324350984543, 0.9321424134717469, 0.8944699050842662, 0.8139716088002529, 0.6704757130609221, 0.46674721897218563, 0.23055680168778156, 0.0638942250804204, 0.013955556542091548, 0.00012561830234984056, 0.0017600120979894822, 0.06410787195942033, 16.696311348225937, 0.05016303771489806, 3.4431394438385796, 0.06801044618725814, 8.37349334583743, 1.2685485961938896, 2.5168811747543827, 1890.452802729354, 0.9196697162015423, 23.853031575679733, 0.0020169387269663433, 0.014726730546411913, 610.7052671866383, 0.01394074943545424, 0.006825319231678645, 0.1607314210024118, 0.0024541595063969144, 1.7590667098001158]"
5,4997,69.03026393514156,"[0.7935372842426347, 0.6289662814159626, 0.391893997200558, 0.14357129395163729, 0.0334785448666363, 0.04780712467605473, 0.4211797868871662, 0.6676462291918743, 0.8099600485401725, 0.8938858278124998, 0.9339909477601015, 0.9442747977734935, 0.9293083803660583, 0.8887005078777841, 0.803397971929582, 0.6552412657577241, 0.43518045616084977, 0.1943771579020939, 0.03390605269375612, 0.0013328141335107132, 0.00018764071328867168, 1.3976177381006535e-05, 2.5274334712178996, 1.6698680211701846e-06, 0.012280075198245793, 1.4880340301056453e-07, 0.00012303622947644165, 2.412523435188893e-06, 704.4204358296432, 6261.0010039143945, 0.11809404253986419, 0.0005572254717457104, 106767.40643984247, 0.044618352463400617, 196.248707137518, 0.5866057997686497, 5.2644481664910444e-05, 0.00016276610707944688, 0.00020139136241974112, 3.694064933210444e-06]"
6,4991,69.71702264676428,"[0.4828903604105062, 0.22785705664058012, 0.022615715375954554, 0.011183761354078978, 0.03363884038788212, 0.46217493224048734, 0.7064024278025953, 0.8457761235868634, 0.9184454413203478, 0.9538192073505294, 0.9673172827927663, 0.9652932645888318, 0.9468445233133744, 0.9041771179180439, 0.821199934859882, 0.6708186426405774, 0.44487227669035506, 0.20989286514839298, 0.0535096071362636, 0.002860859356514994, 2.5072349720579308e-05, 4.4407471047843996e-07, 575567.7793758438, 0.0012968347351433054, 2802275.7667620666, 1.2744115375542065e-06, 0.0001307644628740507, 0.031082453880503198, 0.18566270623582642, 7.892413183511632e-05, 0.001159310662362321, 3.257858866073063e-05, 0.0011792622918016392, 0.002207327587791823, 3.5973027448401216e-08, 0.29491484734896994, 2216.441006400382, 0.023919738623338842, 4.867903437116479e-05, 0.008060592000521132]"
7,4973,16.27808913807334,"[0.7663558039686376, 0.5911322836420438, 0.3492758070377059, 0.11208541130708735, 0.022684215052946016, 0.010964095741615741, 0.008621303034733734, 0.01018168213786343, 0.011671141800028024, 0.009172593050569612, 0.010832045216662175, 0.010064065637075634, 0.010253630031958626, 0.010217027607405352, 0.010207458320302842, 0.009717133984544641, 0.006457625036160396, 0.010268235061486254, 0.018931594779060833, 0.00038118947417732695, 233.51299773115102, 0.0009601232372029048, 0.19696952605727575, 32254.388332886898, 0.011873375312561328, 2.2567986113105416, 110.53130521279762, 0.09677691736847438, 6.190550369752583e-07, 0.178823853307942, 0.14119062138902846, 0.3543374307156159, 0.005601938117323935, 0.00020110743530085755, 1.1835904116155971e-07, 0.0014242897697722126, 4.333445778587857, 0.4702445213001596, 29328.713612187283, 0.0008011420697127015]"
8,4998,4.3761299115063705,"[1.0003163940718411, 1.0006225330373903, 0.9988829583843952, 0.9965756007389135, 0.9970701738845416, 0.9959528980299159, 0.9945485856316018, 0.9904529809539426, 0.9816184004413262, 0.9639811988453797, 0.9292921283660319, 0.8722304947597601, 0.7651501952912123, 0.5868386527610069, 0.3590131925134805, 0.14036451834749483, 0.03001862578229397, 0.01098990828321208, 0.010019844608492997, 0.0003380661503351759, 0.001613167604049663, 209.77895798621537, 0.0004651173557793948, 289.9662393640553, 0.00593463666474761, 1.5584082070858538, 0.001935754306112093, 5.1329960861790494e-06, 0.06887079082902174, 0.00023088524677654715, 2260.243714681117, 0.015355268323471423, 0.00039773740828564016, 7.954644281199311, 0.07876481093931412, 8.875595945541509e-05, 0.020040817559931298, 0.025165338709965037, 0.0493520326014268, 0.9254794749248851]"
9,4932,13.059318296042653,"[0.9803318804338612, 0.9571069497816974, 0.9123758440063711, 0.8148030599825962, 0.7287602285513586, 0.5732480815762946, 0.3546148772705132, 0.13368195445269837, 0.039194730219657206, 0.011819567426284462, 0.010344646553171378, 0.011021912880276364, 0.009613552236168606, 0.008997766150325647, 0.010271184895000434, 0.0059810833551681205, 0.023297036376970802, 0.007745971843050814, 0.013811932674824707, 8.870189045604967e-05, 0.3438751660044789, 0.019759994033904806, 765.291645909778, 13.51280172491813, 0.16719068557873756, 0.660011558051426, 0.43541441737312947, 0.3475560142768146, 63.6144793300641, 0.0011585832518363345, 0.2592718146828636, 0.5031001537293343, 0.11547837394301774, 0.27692069140528397, 0.00016697489451238017, 7.5891638242411235, 39.00825786699078, 2.7703090932123975, 4.628675568314058, 0.12397035937479353]"
