Run,Generation,Fitness,Chromosome
0,4920,-8372.141513757242,"[420.9406705329061, 420.7555381148685, 419.0278827305402, 422.1521218651933, 419.12631142390546, 421.81673575982336, 419.87515896556704, 420.6332994483863, 422.19172235500866, 420.922909320846, 420.0400428888224, 423.00964403114585, 416.75527030717535, 419.32055554146257, 420.41264600255295, 421.9955213572824, 418.90504559056967, 423.34354962293094, 424.22328436256964, 421.3207922395868]"
1,4540,-8374.122558410436,"[422.07352755206387, 419.1583041821809, 420.3591888579617, 422.3772152347751, 424.93773287473084, 420.41672480554666, 421.0981652755647, 418.7466642421291, 422.03010103025304, 420.61886375602046, 421.68034162042375, 422.5181976546339, 420.860763204964, 422.0441616148248, 422.589028315389, 422.19631516272636, 420.0700042927808, 423.35789828433667, 420.8784834087836, 421.0606752648812]"
2,4939,-8369.394460575068,"[420.73111351928776, 420.9689040066397, 423.06514188771496, 421.0172954059951, 420.8849583186146, 421.7025227200878, 416.444911919129, 421.88569016927784, 421.0880504376422, 416.01932716322733, 422.66722535279257, 418.9421717050699, 422.2213741746674, 418.7469004941448, 421.02167684013887, 421.3692342982615, 424.48970624588765, 419.1571388404943, 421.5923267246843, 421.9294388068266]"
3,4674,-8373.312587087397,"[420.81560980647987, 423.4333908055712, 422.06605362489347, 420.2530652943383, 420.0392256705477, 421.9600521651063, 420.40560893566226, 425.88805669492365, 420.98807418972115, 421.1856602168499, 419.9560442072909, 420.54615689941863, 419.75090131722334, 422.5795730627252, 419.89189032266665, 421.15249294188936, 420.2974627242646, 419.40884948995324, 421.6614399004344, 423.4584683933741]"
4,4917,-8373.920800136384,"[420.6672934439181, 419.751728384589, 421.6630920815219, 424.2958880148525, 421.19991868644115, 419.52182922884344, 421.5995814057686, 420.2759871566865, 419.2730864682429, 420.44724006753563, 420.5562584465532, 421.10238855562204, 421.20614865008747, 422.3881751552541, 421.7131386329845, 421.3341302967675, 420.7093867264209, 418.77740819183566, 420.63222210139463, 416.69237701258055]"
5,4807,-8377.035099159339,"[421.2281544774054, 421.27531878018976, 421.36297977737127, 420.7928728104787, 422.93657615133145, 419.6552455978252, 420.4636590293902, 420.3959385253876, 420.7963967257151, 421.9052733536274, 421.317063436754, 421.0834495529299, 419.3857552680388, 419.592795477775, 421.0611580941304, 419.9028311886128, 422.4432866131764, 420.786711409178, 420.7673177247668, 423.29697591261856]"
6,4643,-8365.869408678824,"[421.29273967441975, 424.52418236043854, 421.8287945587573, 420.7835491394492, 420.59443238799565, 421.4333475838173, 420.2747393966499, 422.87206815789307, 418.2124911293905, 422.62545904964475, 420.5456034679637, 418.50994214891386, 422.60127140940006, 420.4184009923505, 427.2658283043735, 423.88408864684993, 419.6482749514879, 421.6319807878018, 424.8446285645174, 418.44320951958343]"
7,4916,-8374.018875468802,"[421.75273605434245, 419.3814102929841, 419.96362979784067, 419.30593951410935, 420.3682753292776, 419.32763541246766, 422.5835931429583, 419.6117266096819, 421.4625148817089, 419.6233726099316, 420.8153900855351, 418.88079631514586, 420.8774407968832, 421.3764186797341, 418.6872027639714, 420.37955344709064, 420.58314454101185, 423.56520780334586, 420.7638362628028, 417.6201343642223]"
8,4750,-8370.391915905015,"[422.12586765532956, 421.26582824854256, 422.6081093410836, 419.3343375629448, 417.77390654459805, 421.52937582711627, 420.25275918722195, 422.2398153500734, 421.8585387633949, 420.9415946718485, 420.56136318891777, 416.84956058886564, 423.28676940485616, 420.47635881939823, 420.828629186556, 420.76901593711614, 421.6508920474299, 425.82985498567575, 420.23814578726353, 418.5580859670482]"
9,4966,-8373.68275996778,"[423.74802339600933, 420.75143160315656, 420.5338820046052, 419.6415835429709, 421.5903620146487, 423.0956105510969, 423.6651297619152, 421.9978130564866, 420.90307987313827, 420.05393941388434, 419.3534623455314, 419.47519226886845, 421.2592709151967, 422.0664151215037, 420.77176718522776, 420.5694988829247, 419.207360741481, 422.19672352156954, 424.51765457217994, 420.9879112323847]"
