Run,Generation,Fitness,Chromosome
0,4998,-5951.056159907652,"[-302.5250123565729, 203.81456266057634, -124.82968151553246, 420.97044755748806, 420.9688146085296, 203.81439202140518, 420.9687038590769, 420.97482553236546, 203.81391579361195, -25.877198620303158, 420.987054837221, -124.82923408624437, 420.9692759015429, 203.81491929089157, 420.9687342143846, -302.52487353541227, 203.81429779188986, 419.0279838131602, -302.5250810837244, 420.9686761663431, 1.6709023365659244, 8.451727169583404e-07, 1.0288845726424431e-05, 1.1606986712462969e-05, 0.0004587138201019745, 0.05729531848074371, 0.00011202130938558767, 2.7652278217951948e-06, 0.03359181278204011, 0.20100004297795518, 47.01614456503632, 8.8415038050781e-06, 5.986171564686e-06, 1.103185839953908e-08, 5.070986003112767e-05, 0.006696634424748673, 0.0013084642597669613, 6.847408020719133e-12, 0.0010443225624130368, 0.005363055599404958]"
1,4998,-5831.614718455033,"[420.9686440181625, 420.96873510062295, 203.8142360428075, 203.81438251278826, 203.8141611536727, 420.968761101001, -302.52495417319057, 420.96878579327904, -124.82934087767752, -500, -124.20589341853002, 420.97808396481435, -302.52494956576237, 420.9687014450364, -302.52504235877524, -302.52496260790707, -124.82906982786979, 420.96875440563093, -124.82937191688814, 420.9687553325136, 0.020004832940793124, 5.711189533542419e-05, 0.002056872561179913, 0.28555212215745907, 0.15887205615465286, 3.293026047587087e-05, 0.0005624793574693253, 0.4081318975093248, 0.000212376374982961, 9.996863497098718e-08, 1.047618224152801e-09, 60.4295043991273, 6.75828949112174e-06, 0.0011227684260747778, 0.09327400088038298, 0.016131915821332915, 0.2657906963976458, 6.723622679142629e-06, 0.027861562185080756, 5.3993109166010713e-05]"
2,4997,-7233.215186214626,"[420.9687378285973, 420.96851879196015, 420.96887025767944, -500, 420.9688387693491, 420.9564356122836, 420.9685626946715, 421.3181791032366, 420.96889445608326, -302.5246654172901, 203.81618960382858, -302.5249294909075, 420.9656219332188, 203.8142966451463, 420.96746536185634, 420.9763260738384, -302.524967686254, -302.5248235660725, 420.89344162887477, 420.96874690882925, 1.3940144342290203e-06, 9.157841673651538, 0.0004959816096136245, 2.021602584260509, 0.019480645084505404, 17.402864547838846, 0.0029889626655344834, 1203767.739248138, 0.026527810800650028, 7.4925950470414255, 0.03813113851913885, 0.0003468132081913522, 3.0234234669822886, 4.209653214320821e-08, 0.01863017260650324, 32.995620994912144, 0.0004897864890282795, 0.004026520431405653, 1.6401141135034337e-09, 0.12056435976317614]"
3,4987,-7076.816581990105,"[203.81424320934022, 420.9697986892684, 420.92803076970563, 420.96115425274377, 203.81389191545367, 420.96644878712755, -302.52225894307725, 420.94644003972553, 421.00394074055555, 420.96869819982885, -124.82964797579223, 420.9685236885857, -302.52493387487067, 203.81469356651817, 420.9702420780268, 420.9679594670117, 420.9686564122913, 420.96874912776985, -302.5252680631047, 420.9686145573039, 0.11992243412188915, 0.09477482758478843, 725.341197476392, 762.7406439926677, 1.5340747045647682e-05, 42.002506190224, 0.6893459493464495, 343.3753008156935, 3345338696.7227445, 0.2363499630854929, 0.13375706546547653, 0.024638135264485495, 0.04652351819119921, 0.03832511384998601, 0.04131196043792918, 0.3603480204596166, 0.009812708853033626, 0.005800295487090358, 0.0009385308288925237, 0.0009641895305450423]"
4,4998,-6246.197805065047,"[-302.52484669656764, 420.93761825206366, 203.81449166009335, -500, -302.524924684846, 420.9665113457949, -302.5255326303851, 420.9686447905153, -124.827539096107, 420.96858003042536, -302.52482953748256, 203.81430654276667, 420.9687372269839, 420.9686851372851, 420.9685202765213, 421.0477499574218, 65.54872803681607, 203.81409874980383, 420.96997291550696, -302.5244286153213, 9.632891357625656e-06, 0.00013113715928897302, 0.00014403972017283775, 0.9164959628488776, 312.4615215109765, 4.196723658435789e-06, 0.007393674836656917, 5.021990166293994e-07, 4.2025788486088235e-05, 0.004450766370731994, 0.1793426864410035, 1.4086985442686468e-07, 3.706417649627297e-08, 1.8267986868879808e-05, 6.333920780933933, 24810.210313867818, 0.00481133116785378, 0.001024384564582968, 0.028205681306495, 0.0016619888419842352]"
5,4994,-7017.57353511756,"[203.81698492463264, 420.8613628047829, 420.9699429374324, 420.96839818608277, 420.97406007307535, -302.55298512874873, 203.81074081071924, 420.95811318223934, 65.54837076683538, 420.973567219311, 203.83839054781885, 421.0016987697321, 420.9678221236033, 420.92257632142037, 420.97141854063796, -302.51950290031743, 421.00687751678254, 420.9861968568103, 420.96210246337114, -302.5292770400304, 0.01646672213409729, 798976.2589637297, 0.04585062198662827, 0.006170927860700804, 0.030097074516264765, 7.499272841516982e-05, 0.86999547623991, 0.463201122585328, 0.0011877303177064101, 0.08729680716213113, 7.012605149544137e-07, 43169245439.565865, 0.00760279253196776, 770.3838883027894, 0.005529225696747636, 0.2730708161409157, 0.0002026671231916211, 0.00024689168466051796, 543.6369983646384, 4.096828982537298e-05]"
6,4999,-7497.171807931962,"[421.0472767784879, 65.54663210816868, 441.6598086444208, 420.89600137389914, 420.95114704977505, 420.6842130689101, 421.0065889435631, 420.9431533666918, 65.53252551951286, 420.8697348012308, 420.9652752360099, 420.90081920027654, 420.9544317589463, 421.39121401365765, -302.55525576417165, 421.15565475896034, 420.9915625983474, 420.9744047302267, 420.8964225696317, 420.93696992547854, 17.509553491787806, 4.297241624227013e-05, 9.043492222305755e-05, 35235.11063430572, 4.439678053603098, 1510.5640148766556, 8.012223491204207e-08, 0.001209644774777831, 2.4439846777737158, 0.03281623630705875, 6.82160269917625e-06, 4317889.885130835, 0.27819384661330837, 4272040.578477785, 0.09459955148093237, 3492948764.8271365, 0.10802196518602677, 5.490267912902128e-06, 121.23943556317963, 0.24514086437092095]"
7,4998,-6879.314446663207,"[420.96861288954716, -302.50254707556127, 420.96904822398557, 420.9703981153597, -302.5247867294024, 203.81399207835062, 420.95943168139286, -25.8775668678311, 420.9688270245995, 420.9686548151433, 420.77409867345455, -302.52476807437796, 421.0274484985044, 420.9679738517162, -302.5252655289824, 420.9664755834956, -302.52494182715327, -124.82912510273945, 420.9761900006172, 420.9569023880985, 0.000326265972099448, 1.691271171625791e-06, 59634.11087651377, 2.4645630879672353e-07, 7.245617407039292e-05, 2.8060162979403968e-06, 28.99693113291224, 0.0006544243392704372, 0.0003716700863069488, 0.00015113504270224346, 11946.333333062446, 1.0169923218246769e-05, 30.254977173646797, 0.0425487320639162, 0.09440180179572977, 0.5156638211107298, 8.798127956794987e-05, 0.002895296342592072, 253425.29345238235, 2808.873616796694]"
8,4997,-6682.171572784991,"[420.9668838195488, -314.51230437771505, 424.29102068852507, 203.80970718890143, 420.96864252287713, -302.53319118019067, 203.8151007685568, 65.5440151087458, -302.52513551598776, 420.87662383041896, 420.88653103101893, -303.0256293497248, 420.96685673812556, 421.0560739624633, 420.9686082746951, 420.954288974273, 420.9670771062752, -302.52562232051326, 420.9676627857064, -124.83371536551125, 0.03159185536779842, 4.173225062410536e-09, 211544.3418058727, 4.735774091301211e-05, 0.03004125399409097, 2.3509409923029962, 0.010028902539942795, 0.7853659079726669, 0.00798269221606402, 428.8511458044039, 5599.3203269268, 2.8525784481607257e-05, 0.0239880558739901, 8637044599.06223, 0.0020675571584976393, 34894314.41248429, 2.2033527883553723, 0.007066586032781852, 0.6550893760527335, 0.00039961790117462175]"
9,4999,-6208.255632628746,"[-124.82952550000329, -302.5249353886199, 420.96919850651557, 203.81422833557508, -302.52510797806895, 203.81442058539741, 420.968771643635, 203.81427428189897, 420.9687384213439, -302.52489550362776, -302.5247807324368, 420.9687789609388, 420.9687165010623, -124.82935469331879, 420.96872589916165, 420.9687938258039, 420.96875946047123, -302.52523908465383, -302.52493931918207, 203.8141479134843, 0.2405963661081836, 0.00028814284665802024, 1.3440572006262774, 0.0003981313568436044, 1.1114793269679806, 2.186988787108495, 0.006292596973024996, 0.000951322539614086, 0.0028800418373349317, 0.05718218579334197, 1.3336465774233526e-05, 0.005069979175756125, 0.6856883905165742, 0.0001121115450671833, 0.0009349259183582774, 0.0010080645696752774, 0.07515213638496328, 126.25358511692448, 0.001262738744247065, 0.19005155792265205]"
10,4991,-8023.8329162058635,"[420.9688638968123, 420.9687472751825, -302.5240443228335, 420.9690897122089, 420.96875928697233, 420.96874707351304, 420.9684835521099, 420.96870249947494, 420.9687120457218, 420.89141975377004, -302.5248572113591, 421.9692862003355, -302.52477714830843, 420.96866675934757, 420.9687957572048, 420.968732309269, 419.22649747338147, 420.96884556274307, 420.9688754283143, 420.9642280677991, 0.004338128451139669, 0.00035821727921849834, 0.024573213599186888, 1.1621482052443988, 0.00011915648592996201, 6.924152060678255e-05, 36.450288074727915, 0.014713522762407005, 1.030726086691845e-07, 5.7684278393652916e-08, 0.012242557229983561, 345498.43981752906, 0.37743634319057395, 0.0011470224660146235, 0.0005910137217091687, 0.011739701329556734, 1.221050750534554e-09, 4.038936738139402, 0.06574102792397134, 28534.13927359698]"
11,4993,-6563.3320171460955,"[-124.76574567979694, 420.96488779506876, 421.2733497463159, 203.81430545878877, 203.81426220402227, -302.52451336341966, 420.54046332660073, -302.52497226312624, 420.9687379761482, 420.9688802487034, -25.8775137424836, 420.9687287641618, 420.9687436192501, 421.9080532945579, 203.81424087128752, -302.5249389954451, 420.96801198573513, -302.5249194677703, 420.96871075130446, 420.9691231750547, 8.957762781552837e-08, 1022.1875158898156, 4988063.998990772, 0.006608508649091265, 5.7978961088254424e-05, 9.089041074932766e-06, 1668010.824020447, 0.000126823535554065, 0.0002932645467772698, 0.0015239522455311562, 7.854908093720834e-07, 0.0052999254374167075, 1.1282356960971049e-06, 32861.16432854493, 7.681320997904992e-06, 0.11900426505691596, 0.16942933535359023, 0.006327239787350267, 0.11649448436880694, 94.75661894754741]"
12,4984,-6204.455577284742,"[-302.524863542941, -288.9918216920274, 420.9677681298731, -302.51958865731103, -302.5256251851197, 438.8925258028411, 421.00059389716654, 420.9792775034877, 421.16354567335907, -302.5269813102771, 203.8147811713325, -302.5226048909861, 420.92573009856665, 203.80715594988973, 203.81526512064198, 420.94784734465145, 420.9660052803789, 420.96785252191614, -25.872944616848834, 65.54339096577135, 0.6515088281624882, 1.7113313877295053e-06, 10.696081150967892, 0.20822357311001669, 0.2372939597271649, 1.1041069046487479e-07, 57228.83583081448, 41.973565769461594, 291.4781659596543, 1.80556933023305, 0.011550815454815403, 0.028142090427616496, 17646503.659659028, 0.5070854880658642, 0.47056790460532666, 2.5273513123558563e-05, 211.09967186065387, 4.144515847927957, 0.04427859686628215, 6.149771804140719]"
13,4992,-6642.423184761665,"[420.9709984688963, 421.0376031515901, -124.78490904885456, 420.89252375772287, 421.89986808218345, 203.8144204444431, -302.52351399537986, -302.5250574229208, -124.82936008956739, -302.5242096003316, 420.96907631360574, 420.96884579390587, -302.5248118616989, 203.736993533536, 420.96650162294225, 420.9688330424472, 420.9687587325692, -302.5250144121472, 420.9746165294808, -302.5249459272379, 0.14458098123309365, 88.69895759029865, 2.2022691453935853e-05, 1756.601175960126, 730012.1472954719, 0.7567150157669946, 0.38855590284616875, 0.02958807945579922, 0.0019514494878520442, 0.001358960808615565, 0.4239297377566373, 0.0004376928301849171, 3.99027208215546e-06, 2.191357099743038e-09, 558.6677905742528, 3.70494835112494, 0.010519720756717492, 0.0010484511627010759, 179.60253362408957, 0.05032738498352469]"
14,4999,-7268.892651033286,"[420.9602100834493, 420.96802690452785, 203.81516757096878, 427.3790760458467, 420.96667012124, -302.52483410753786, 419.91624012910825, 420.96854510085427, -302.5283267721093, 420.969129066042, -302.5254780289868, -124.82920196815186, -302.5247285417463, 420.96992526711205, -302.5247582454544, 420.9598434345128, 420.96869883995555, 420.9688979433528, 420.9765005509482, 420.96891237079257, 0.00045289183814946647, 0.0709259732560671, 0.03461599136746149, 365552994.51349837, 1.0444587666543665, 0.00038470817048968676, 230171946.92036894, 0.0003862847732242356, 0.6883110106987759, 0.000420322122571919, 0.11774248959077124, 0.017733423517320466, 0.0011326652059148361, 6.194181148706415, 0.00010713199424081814, 1.0799012437610769, 0.0006787356876147429, 0.001104083012864805, 80.00047789800512, 0.0039228049717147245]"
15,4997,-6464.829691309124,"[420.96794003147113, -302.5243348525605, 420.928273627936, -302.52482680691344, 420.9687853536444, -124.8294240215173, 420.97011395346107, 420.9686685371459, 420.96876549817256, 420.96873014835194, 420.4752775154322, 203.8142848488722, -124.82936815835396, 420.9683167521914, 420.7064213384408, 203.81384348233064, 203.81491844215446, 420.9687492637896, 203.81418537523078, 203.81455510664804, 11.556227032729678, 0.4362240567665991, 28.92962189888933, 0.0029567949564198825, 5.08045494207584e-06, 0.015017326458054285, 43.83203503772198, 0.010991943101690544, 1.7256188205465774e-05, 0.009556798261949441, 74982.28843439938, 0.016005821342608854, 0.0005460690185581027, 0.019525814400120044, 3.5086760576161444e-08, 0.06761557525989145, 0.11393161296648818, 0.0003009928153185896, 0.05545427918432707, 0.024213217688402032]"
16,4998,-7353.155673358765,"[420.96879552774965, 420.4747449781069, -302.5248815889581, 420.9532839823558, 420.9688058420029, 420.9689626770075, 420.9688198435297, -302.52527645580744, 203.81203351794397, 420.9641498286051, -302.5254202069284, 420.9692605858889, -302.5251589381296, -302.526575970481, 420.9677493659416, 420.97448354119405, 203.81423803995008, 420.9686931959636, 421.00727029470994, 420.98815371310184, 0.00205408277681034, 412130195.0636368, 0.0007226119434722549, 92045054455.06085, 0.0006546282718918952, 0.00024440992804091236, 0.0007674097901778742, 7.770721223242517, 0.5278260724640621, 24.92922262904966, 0.008565578104397224, 0.003296597121449681, 0.005432652458712007, 2.0703035279689873e-05, 0.11097090597517056, 14.045073202897658, 0.08142593401924984, 0.17880989714756304, 3.0311415424793178, 8.890701239721337e-08]"
17,4960,-5872.464723883493,"[-25.877424988275646, 420.9687512655095, 420.9642036283697, -302.5249359288786, 203.8139961778513, 420.96874685891635, -302.52493493501817, 421.20884185061107, 420.96874307771964, 420.93887814018126, -25.87741499699184, -124.8293390074519, 420.96874678624476, 420.9740349319116, -302.52481276877245, -302.5249615316643, 203.81433182816917, -124.82935811919714, 420.96874596225905, 203.81424818430864, 0.005079263282040958, 0.00036428366901661833, 217.78929170094105, 0.002825342461303413, 1.4788046961393568, 1.7847034587393056e-05, 0.004175611479460082, 23657.387241679495, 0.00020522369194556314, 315.62407896160164, 0.0039468895642631886, 0.008546719597224028, 1.134099866459834, 108578.63100825442, 0.13337194133252034, 0.0015796503158029005, 0.048060915598625756, 4.775572506000344e-05, 0.0005665417862481486, 9.852311866052405e-06]"
18,4981,-6188.246110829761,"[-302.52516740691686, -302.5250237663294, 420.9687417393857, 203.81425294866057, 420.96991310650174, 420.9685958115805, -124.8296020407892, -124.8293846058357, -25.877558577351994, -124.8292649258445, 420.9613639206647, -302.5232031351069, 420.96888757771507, 419.8673826391864, 420.96748615982233, -302.52490563378285, 420.7525994605802, 420.968756983331, 420.968825465455, 203.81437316568892, 0.008682637289351506, 0.0030165229160043073, 0.0013972723860748938, 0.00012279309321419526, 0.09355736467159624, 9.844115348070458, 1.5236877985823931, 2.939881541933379e-05, 0.11039711281143812, 8.853970240631076, 1067.2458560196028, 0.8283812896170815, 0.007370420110149708, 42315.05976336267, 1.3298033230315227, 0.003429757666815188, 526.1879873866883, 0.00028209253035132287, 0.09039943110517068, 1.8009856171257512]"
19,4997,-6917.430658724497,"[420.96876901526315, -302.5184655967118, 419.92921525551986, 421.0086001324223, 420.7046240017239, 203.8142313863, 420.9590846240276, -302.5292593880954, 420.96837571590413, 420.97115868900613, 424.2151934249567, 421.0223705221461, 420.96879914776406, 203.81450159636384, 203.81232077405576, 420.96996119226435, -302.5268738735722, 203.85197972713135, -302.5252157331895, -302.53566116392324, 1.149532736264733e-05, 5.832771439137394e-08, 145.3319479450344, 0.06245747965836012, 10887.541154370889, 8.691993562217204e-07, 0.004586616440137588, 0.01241188779183366, 79.367379018619, 0.002593953710667415, 9059014.271963604, 143.61101288072365, 0.14325507023349834, 0.0002830393055791076, 0.2546052377913018, 0.0018632100946511978, 0.001459684158949031, 0.06630186401837213, 0.000304461937347649, 0.06472960306683603]"
20,4994,-7233.073787515907,"[420.82300074519867, 420.96968979904943, -500, 420.97120519026885, 420.9691377782992, 420.96919647586304, 420.96856306158617, 420.9664024896041, 419.9686990778883, -302.5247493515321, 203.81566437396793, 203.8171391388291, -302.5245548785852, 421.0391406910178, -302.5252581447731, 420.9687895203529, 420.9686121478607, -302.52462045509054, 420.96652153640554, 420.49677971516365, 112.84865224502974, 0.01828900346564153, 0.02958591612962549, 15.014481790280847, 0.011246590302160082, 3.2975020718196685e-06, 0.01781972871651823, 0.004856197646160599, 9.301588926828659e-07, 5.024098156653177, 0.2965420882025016, 0.12155627566071893, 0.027009391390605916, 1422740.9385884735, 8.179187710733219, 0.00012733714785850725, 0.0006549725879480734, 0.020381724979869193, 0.7842335358446562, 704847.2109288482]"
21,4996,-7195.240925652722,"[420.96923845960697, 420.8440938887705, 420.9687393764869, 420.96751283168385, -302.5249387108706, -302.52493078190247, -302.5216603255364, 420.9683493855447, 420.96878852830673, -124.82942429018735, 421.24593892028514, 420.96873107023623, -302.5251876156175, -124.82936776116561, 420.9687530143895, -302.524949003108, 420.96873767661447, 420.96874052835636, 420.9688574313851, 420.9468275424187, 1.496758446470623, 1169.2490137802051, 0.00011699249353228924, 1.0703768351293759, 2.4727773676650288e-05, 0.0027515827622916628, 1.593833121594929e-06, 60.89031248329455, 1.6587831848396477e-08, 0.0003109489186892269, 25772.583493704806, 6.289890544889284, 0.20363894222694257, 0.0005925136010239868, 9.704239587752383e-05, 0.00024366267965536623, 3.355976265496063e-05, 0.00014359200990587823, 0.011024503969796203, 43733.64597715164]"
22,4999,-7290.452715978765,"[420.9738795108071, 420.719405728126, -302.5270542512543, 420.98219293966827, 420.9704265717698, 420.15893467109714, 420.9762260469919, 421.00648236615706, 421.01933909997877, -302.5253750931284, -93.11558297781544, 420.9792431963911, 420.962789813454, 420.9688605439512, -302.53894781990846, 203.81470209364548, 420.9292638146512, -302.5107588754433, 420.9456607774808, 420.96803694179954, 169.21713369114696, 1.0299612670063234e-07, 0.0016888233828392008, 0.21609125892059966, 7.39771926633937e-05, 870.9896614695319, 0.0021529613036890354, 0.04410569814912088, 0.09533755850823913, 4.1690487318565905e-09, 0.003237602128667077, 8.111933725779861e-05, 0.0009606454589599031, 0.011378642450924263, 0.0012443251103417283, 1.1830832509676923e-11, 1.5699661451551994, 0.0013069820837964337, 90.8341853606779, 239.02473330546994]"
23,4996,-7274.130488684347,"[420.9660341256275, 420.9687753398064, 420.92455696743554, 420.96915355684314, -302.52528634312654, 420.95888456400894, 420.96696998638095, 420.9316698866565, -302.52366809889463, 204.1193700845987, -302.52501396096653, 420.9687118290167, 421.7492322244221, 420.96917988791625, -302.5313507676386, -302.524929296082, 420.96924567346383, -124.83587735304185, 420.9720727876751, 420.97248231477386, 0.5143683646963779, 1.2205923071620214e-05, 3.9570995450765527, 0.0007883302377013558, 0.002680577243285635, 1.3290283663617277, 0.24403029762658612, 15.640782672196924, 34.91851583835423, 2.4760383364593875e-07, 0.0011391456599863033, 9.29635631196404e-05, 8155.395000725634, 0.4759171855004869, 4.69839006970538e-07, 0.0009364445186715228, 0.0019805365737017478, 0.9876423211112574, 0.02498836369913058, 5.738618372300135]"
24,4995,-7013.753955971871,"[420.77479117967846, -302.52482030247546, 203.8144240366784, 418.45036400426426, 420.9917883502919, -500, 420.96871197371973, 203.8146387220322, 421.3014166390019, 421.1121114743386, -302.52515136648003, 420.9705249207084, 420.96870765763595, 420.9698743694564, 420.96867524470264, 203.81260918798557, 420.9689311526988, 420.96875318735084, 420.9824656227278, -500, 13086.366063988167, 0.009656744622051657, 0.0009611360551108219, 17015.193231257217, 11490.773124975742, 0.799724129314089, 0.0006051576171903181, 0.06167537525925705, 3763.273351084764, 150463.6956268494, 0.00014546753880092164, 0.1359033828316544, 0.012642433771574093, 2.719623734378329, 0.013719509052144026, 0.007515693023923168, 0.11257154308872169, 0.002115606250144193, 8.893629276716304, 0.020617987663638402]"
25,4998,-7412.2735047997285,"[420.88346286235054, 420.9688056743287, 420.9680244510435, 420.9693991368724, -25.87761261103436, 420.9681413464597, -302.52524937276974, 420.969967026219, -302.5244409314348, 420.96662969205175, 203.81445738058676, 420.5170362222958, 420.9702947869023, 421.1147204129699, 420.96917977887364, 420.968670221347, -302.5244032659437, 420.97054230226786, 420.92368670531374, 420.95238878842684, 6.249369999047065e-07, 3.1579044503823663, 0.009550939320847702, 4.707836482917701e-06, 0.0011168496445418828, 1.5229754116825565, 9.239634476869583e-05, 2.6849748943782674, 0.008995055559937829, 2659.6604860559924, 0.03414344395503319, 45565.79786243774, 8.697860200245437e-08, 0.00011731414807552341, 0.003388208611026617, 0.00016047294998151554, 0.03395459099271498, 0.13327766660354037, 438317.30398769537, 3050922.7618286656]"
26,4999,-6859.523914808751,"[421.18254655059945, 420.9687698930317, 420.96749871985946, 420.9682645557228, -25.87718864216036, 420.9691294278734, 421.6288362257292, -302.52491798478195, -302.52411473184543, 203.81419487387137, 420.9680353659744, 420.97138370661276, 420.9689235298738, 203.8140589713165, 420.96879220294664, 420.9685825965024, 420.9688187167992, -302.5251699769669, 203.81413131162597, -302.6041146309479, 279574.0819838248, 0.00039213628117941305, 64.52539551659626, 0.007156602606193011, 0.003186299222888724, 0.006846953566952114, 16012.327378170983, 4.7055289780013484e-05, 0.009860815996189772, 0.04171525144495367, 28.903646544236395, 1.4865772505527084e-08, 0.024534300340015545, 0.4050501707373949, 0.00020805522728160552, 2.064231283957948e-06, 0.017150674164138374, 0.00043841160689829083, 0.0001764412352520884, 1.6107605872841069e-06]"
