Run,Generation,Fitness,Chromosome
0,287,0.9239583218306842,"[-0.051193998860238565, -0.09590419592567478, -0.06567486356460073, 0.022884200834889512, 0.02401878730010676, 0.049131202756343306, -0.27736471941065055, -0.19611396847900853, 0.16191527777921877, -0.37192488390059797, -0.14234896927533125, -0.07509448671176777, -0.3897430850725083, -0.06523926050547324, -0.341757686718541, -0.019199986637282507, -0.2872773929883996, 0.004875124657190533, -0.10966139975371458, 0.48017995267224567]"
1,243,1.2725118479718858,"[-0.45093465011292455, 0.10029113040601256, 0.5851871604987204, 0.5695701285583086, 0.08462755018074297, -0.001564618339276791, -0.017128684985579845, -0.20069785853314404, 0.14770589030941395, -0.19292935348367557, -0.004357902311237893, 0.19293800890850932, 0.22128241984460484, -0.21241536271174244, -0.21643432896442238, 0.05922817477365161, 0.0452586673613844, -0.17272423463261788, 0.004818394272652071, -0.2681305530483833]"
2,276,0.8001539307894021,"[-0.14658168837502217, -0.06968525609071996, -0.3137009936855, -0.06664776337707945, -0.1216169063679704, -0.079656899264684, -0.07159907480564343, -0.11664063384773282, 0.038469590697989275, -0.09068021794891212, 0.021305184345703054, -0.07408935092737323, 0.03622790967105871, 0.4322934375905403, -0.26136493761642665, 0.04479895340565232, 0.20556920391218192, -0.1731912443551451, -0.25475714088354984, -0.4688116829396298]"
3,276,0.9644310608440061,"[-0.04336975132255905, 0.037205255516247426, 0.07894494176643185, 0.38614782018181604, 0.2685890986410904, -0.10209968566043326, -0.3392476217622207, 0.10248038423622496, -0.41704792939789304, -0.025604220940682154, -0.2780426571003467, 0.12705875828331514, 0.17825715762075234, 0.30495843183145244, -0.1585249550565706, -0.06495535336286462, 0.29371928056783414, 0.13444329637640262, 0.09977883291307332, 0.24739679704998174]"
4,299,1.0433226747095554,"[-0.033353148865505666, 0.1190269934592516, 0.22860270117771275, 0.137712564682122, 0.12673941275124, -0.4135180531467588, 0.13997830686986124, 0.10834292790989686, 0.030995717072244133, 0.10454438921426323, -0.0696480234441541, -0.4181805244413832, -0.13386156417995743, 0.11419640286154653, 0.4875715559655456, -0.20512383179676785, 0.04321257960473268, -0.19054368202382665, -0.433940665948759, 0.09782824440446092]"
5,264,1.139336605570563,"[0.01297938850434921, -0.1851626227457981, -0.0010666087707829064, -0.14180588111449755, -0.25413250491291617, 0.4651916019002833, 0.1372123617628258, -0.23334064014000067, -0.24441483362335337, 0.003722776069614575, -0.3781561134271989, 0.1819074860341141, -0.2208590153447263, -0.15789621074195015, 0.1869044901866781, 0.13479637028035452, -0.5280913713294355, 0.2496354378701664, -0.15229141698341397, 0.058839731843127296]"
6,292,1.3368383573193838,"[0.1241780025214938, -0.2530823304889269, -0.0185055700920147, -0.26984571304232396, -0.1558198728277027, -0.21717546247050468, -0.7644612824333539, 0.20068621637396156, -0.25217826731417503, 0.14078186423449424, 0.0800077605748637, 0.14873928913478274, -0.17418444479752004, 0.11539516613011891, -0.4526552978929228, 0.04170539831727371, 0.17253457232223912, 0.2784062745821485, -0.13614024403798997, -0.006668863470448372]"
7,269,1.4924918335422537,"[-0.02707915820390472, 0.4016041872078002, -0.017575875359062465, -0.17281736288662142, -0.39771066946970546, -0.11067378058587796, 0.017026884277573373, 0.06352436836652586, 0.1465311835911347, 0.25924306726749435, -0.38403656226646277, -0.3586099005868224, -0.1066309354298074, -0.0011259349737713364, -0.22528856954332444, 0.5054497100104776, -0.5207501563561161, 0.1971987767743384, 0.23437774836973269, -0.2796066383972926]"
8,271,1.8974824063783258,"[-0.11864336024229338, 0.5526046614856739, 0.09340403434570277, -0.07386479540116841, 0.18115801742762905, 0.1801629648004761, -0.024887122056741262, -0.30493585560942194, 0.5035970281164177, -0.24272128796613313, -0.10655534969820835, 0.04617827948307074, -0.04782555676219502, -0.7116393386260906, 0.326225385088045, 0.49057601989514144, 0.27779397682059237, -0.2925562036791085, -0.09835228502166249, 0.22522040383178776]"
9,291,1.311020693574172,"[-0.552428299693914, 0.10583212946349363, 0.058498968961912645, -0.14753527795193477, -0.0417061670050769, 0.45589861909268237, -0.17948381896124932, -0.04009453123235218, 0.27862125030340845, 0.20952020961878226, 0.05677154292682207, 0.36776142322452987, 0.18673784102652213, 0.18638017320435196, -0.07975983147390941, -0.09842266976472835, 0.2815638940864629, -0.26057310606622774, -0.4594735355662509, -0.14865980424197023]"
10,287,1.3875152725748614,"[-0.19935975361337555, -0.046356797464079946, -0.2430502874214504, 0.059942365753781424, 0.2699634534844897, 0.21068972592864288, 0.27672958039091533, 0.08115872808676627, 0.3478585070764737, 0.1511295898872973, -0.14213490450269628, 0.3263571876119089, 0.4116142545452597, -0.2435720505739365, -0.0984276392471699, 0.16442721977237973, -0.4747361534664618, -0.12561172974054635, 0.2887950419686227, -0.4710931607987705]"
