Run,Generation,Individual,Fitness
0,0,0,52
0,0,1,50
0,0,2,64
0,0,3,58
0,0,4,49
0,0,5,61
0,0,6,67
0,0,7,64
0,0,8,45
0,0,9,58
0,0,10,68
0,0,11,60
0,0,12,44
0,0,13,61
0,0,14,68
0,0,15,67
0,0,16,45
0,0,17,49
0,0,18,40
0,0,19,38
0,1,0,38
0,1,1,43
0,1,2,44
0,1,3,45
0,1,4,45
0,1,5,46
0,1,6,46
0,1,7,48
0,1,8,49
0,1,9,49
0,1,10,52
0,1,11,52
0,1,12,52
0,1,13,53
0,1,14,53
0,1,15,55
0,1,16,55
0,1,17,56
0,1,18,56
0,1,19,63
0,2,0,38
0,2,1,36
0,2,2,36
0,2,3,39
0,2,4,41
0,2,5,42
0,2,6,42
0,2,7,43
0,2,8,44
0,2,9,45
0,2,10,45
0,2,11,46
0,2,12,47
0,2,13,53
0,2,14,53
0,2,15,55
0,2,16,57
0,2,17,60
0,2,18,62
0,2,19,67
0,3,0,36
0,3,1,32
0,3,2,33
0,3,3,42
0,3,4,44
0,3,5,46
0,3,6,46
0,3,7,47
0,3,8,48
0,3,9,49
0,3,10,49
0,3,11,51
0,3,12,52
0,3,13,53
0,3,14,54
0,3,15,54
0,3,16,55
0,3,17,55
0,3,18,56
0,3,19,60
0,4,0,32
0,4,1,34
0,4,2,37
0,4,3,38
0,4,4,44
0,4,5,44
0,4,6,45
0,4,7,45
0,4,8,46
0,4,9,46
0,4,10,47
0,4,11,47
0,4,12,47
0,4,13,48
0,4,14,49
0,4,15,49
0,4,16,50
0,4,17,55
0,4,18,56
0,4,19,57
0,5,0,32
0,5,1,29
0,5,2,31
0,5,3,31
0,5,4,33
0,5,5,33
0,5,6,35
0,5,7,35
0,5,8,35
0,5,9,36
0,5,10,43
0,5,11,47
0,5,12,48
0,5,13,49
0,5,14,49
0,5,15,52
0,5,16,53
0,5,17,54
0,5,18,59
0,5,19,59
0,6,0,29
0,6,1,27
0,6,2,34
0,6,3,34
0,6,4,38
0,6,5,41
0,6,6,41
0,6,7,41
0,6,8,41
0,6,9,41
0,6,10,42
0,6,11,43
0,6,12,44
0,6,13,44
0,6,14,45
0,6,15,46
0,6,16,46
0,6,17,47
0,6,18,50
0,6,19,51
0,7,0,27
0,7,1,20
0,7,2,32
0,7,3,39
0,7,4,40
0,7,5,42
0,7,6,43
0,7,7,44
0,7,8,44
0,7,9,46
0,7,10,51
0,7,11,51
0,7,12,52
0,7,13,52
0,7,14,52
0,7,15,54
0,7,16,55
0,7,17,58
0,7,18,59
0,7,19,59
0,8,0,20
0,8,1,28
0,8,2,31
0,8,3,32
0,8,4,39
0,8,5,39
0,8,6,41
0,8,7,41
0,8,8,42
0,8,9,42
0,8,10,44
0,8,11,44
0,8,12,45
0,8,13,46
0,8,14,48
0,8,15,49
0,8,16,50
0,8,17,53
0,8,18,53
0,8,19,60
0,9,0,20
0,9,1,26
0,9,2,30
0,9,3,33
0,9,4,33
0,9,5,36
0,9,6,38
0,9,7,41
0,9,8,42
0,9,9,45
0,9,10,45
0,9,11,47
0,9,12,48
0,9,13,48
0,9,14,49
0,9,15,49
0,9,16,50
0,9,17,53
0,9,18,54
0,9,19,54
0,10,0,20
0,10,1,27
0,10,2,30
0,10,3,30
0,10,4,33
0,10,5,35
0,10,6,36
0,10,7,38
0,10,8,38
0,10,9,39
0,10,10,39
0,10,11,39
0,10,12,41
0,10,13,46
0,10,14,47
0,10,15,49
0,10,16,55
0,10,17,55
0,10,18,55
0,10,19,55
0,11,0,20
0,11,1,27
0,11,2,28
0,11,3,31
0,11,4,32
0,11,5,33
0,11,6,34
0,11,7,35
0,11,8,38
0,11,9,39
0,11,10,39
0,11,11,41
0,11,12,41
0,11,13,41
0,11,14,42
0,11,15,43
0,11,16,46
0,11,17,48
0,11,18,54
0,11,19,54
0,12,0,20
0,12,1,27
0,12,2,29
0,12,3,31
0,12,4,42
0,12,5,43
0,12,6,45
0,12,7,46
0,12,8,46
0,12,9,48
0,12,10,50
0,12,11,50
0,12,12,50
0,12,13,51
0,12,14,52
0,12,15,53
0,12,16,54
0,12,17,56
0,12,18,58
0,12,19,59
0,13,0,20
0,13,1,31
0,13,2,32
0,13,3,34
0,13,4,35
0,13,5,38
0,13,6,38
0,13,7,41
0,13,8,41
0,13,9,41
0,13,10,42
0,13,11,45
0,13,12,48
0,13,13,49
0,13,14,50
0,13,15,50
0,13,16,52
0,13,17,52
0,13,18,55
0,13,19,57
0,14,0,20
0,14,1,24
0,14,2,38
0,14,3,39
0,14,4,40
0,14,5,41
0,14,6,41
0,14,7,41
0,14,8,42
0,14,9,44
0,14,10,45
0,14,11,45
0,14,12,46
0,14,13,47
0,14,14,47
0,14,15,48
0,14,16,54
0,14,17,55
0,14,18,56
0,14,19,56
0,15,0,20
0,15,1,27
0,15,2,31
0,15,3,32
0,15,4,32
0,15,5,36
0,15,6,38
0,15,7,39
0,15,8,39
0,15,9,39
0,15,10,40
0,15,11,40
0,15,12,41
0,15,13,42
0,15,14,43
0,15,15,44
0,15,16,47
0,15,17,51
0,15,18,51
0,15,19,52
0,16,0,20
0,16,1,28
0,16,2,30
0,16,3,32
0,16,4,33
0,16,5,35
0,16,6,35
0,16,7,35
0,16,8,36
0,16,9,38
0,16,10,40
0,16,11,42
0,16,12,44
0,16,13,45
0,16,14,48
0,16,15,49
0,16,16,50
0,16,17,52
0,16,18,57
0,16,19,60
0,17,0,20
0,17,1,23
0,17,2,23
0,17,3,28
0,17,4,29
0,17,5,29
0,17,6,30
0,17,7,32
0,17,8,33
0,17,9,33
0,17,10,35
0,17,11,39
0,17,12,41
0,17,13,42
0,17,14,42
0,17,15,46
0,17,16,48
0,17,17,49
0,17,18,50
0,17,19,50
0,18,0,20
0,18,1,27
0,18,2,33
0,18,3,35
0,18,4,38
0,18,5,39
0,18,6,40
0,18,7,40
0,18,8,40
0,18,9,41
0,18,10,43
0,18,11,44
0,18,12,46
0,18,13,47
0,18,14,47
0,18,15,49
0,18,16,50
0,18,17,50
0,18,18,54
0,18,19,56
0,19,0,20
0,19,1,34
0,19,2,38
0,19,3,38
0,19,4,39
0,19,5,40
0,19,6,40
