Run,Generation,Fitness,Chromosome
0,262,15,"[-4.111416231480355, -4.559716345881432, -5.04203432102759, -4.371630671821132, -4.546964553537562, -3.082836551197069, -4.98672046562345, -5.000879199179592, -2.7820620643419343, -0.4616320860817815]"
1,420,11,"[-2.7035482895992664, -4.920411797513634, -1.0468183525357064, -5.096860736872941, -4.451051804127645, -5.045077332480653, -5.10502648834091, -5.048064418285126, -4.032369210782576, -4.559419752612779]"
2,297,11,"[-3.733442977531098, -4.944264456784804, -4.272304997768097, -5.111343264562622, -4.225041575708388, -4.02008635102807, -3.677910884508043, -4.594104968465, -4.5171694786201035, -4.4452837685263304]"
3,331,14,"[-4.81567691604319, -4.26153539331413, -3.695892655884833, -5.068388104756318, -4.284563165053559, -1.1997741958884443, -4.676613993432426, -4.24794032763705, -3.2801511437364193, -4.18894507653775]"
4,305,15,"[-5.017468711182787, -4.883877300717636, -4.085103168182806, -2.4433304757637644, -4.479058855461859, -4.7543236959465816, -4.669322856033507, -4.913465194951256, -1.5661008667841303, -3.5262376046933808]"
5,381,16,"[-5.1055623244794095, -2.046795850868583, -3.7387381191131945, -4.336997008925807, -1.8414702827500116, -2.130464937857388, -5.019341930700453, -4.4804918862659004, -4.136512499773734, -4.863703678678989]"
6,466,12,"[-4.367618498270763, -2.2111068678396704, -3.5931964509426644, -3.733555955214772, -5.086452101761297, -5.0615793635098605, -4.11996760838549, -4.885165883600726, -4.181753252986116, -4.321746815251742]"
7,324,13,"[-4.482880356269684, -2.1151810970427345, -4.622518489073451, -3.019667450966407, -3.765388176790565, -4.065412832744483, -5.007030315999961, -4.768802923816203, -4.356016438154638, -4.6271511480906415]"
8,465,12,"[-4.308318043429462, -3.4856564959959884, -3.8836647218448355, -4.606319116082293, -4.933463062249029, -5.119467360826324, -4.49791322191492, -4.7543898747483375, -3.8955541120659563, -4.892659345877693]"
9,202,12,"[-5.04683474847356, -4.762773588532934, -4.7222277801523385, -2.853725986468528, -4.067887700342465, -3.335546426868116, -4.4272359369604395, -4.422649077400303, -4.915041018009508, -4.273075995175709]"
10,430,11,"[-4.032017826790029, -4.6547607533025905, -4.990779013146274, -5.051743158455404, -4.830659316400329, -4.41550955720524, -4.256089749056017, -4.807537767213997, -2.6880742951712397, -4.575045954855786]"
11,422,13,"[-4.453608174547819, -4.949108709635896, -4.7354866081164015, -4.1630777737064975, -2.2917805845713097, -4.0150090588482374, -4.211245679902133, -5.04310808378779, -3.4187213254809254, -3.716300274777823]"
12,211,12,"[-4.406992155608739, -4.741542749266415, -5.065181801877556, -4.97637688914309, -4.248289621025115, -4.650648319803393, -4.400939574310532, -4.576796702109188, -2.9022941803206073, -3.5773556024508375]"
13,327,12,"[-2.165100975039891, -4.911045545222542, -4.3639757850011245, -5.084584565989822, -3.3404492934898644, -4.680227067957778, -4.056353270479104, -4.371851162011204, -4.876851605403168, -4.741796321080138]"
14,186,11,"[-3.59864901536438, -3.5901303883253926, -4.963007191578838, -4.238188868112767, -4.809979626622378, -5.021701613259226, -4.009325022641552, -5.070970343714418, -5.0765155786693645, -2.3034767445197897]"
15,255,9,"[-4.9459551539823465, -5.112757791997871, -4.304103121746107, -4.767545686062038, -5.1091847712389, -4.7365632688944, -4.667848822267693, -3.93488143050555, -4.817807641069914, -4.74606821929482]"
16,405,11,"[-3.886348749025583, -5.111766369270944, -4.321550341850561, -4.030055788486009, -4.146641074085227, -3.730984412146265, -4.147695498001428, -3.1426968589810587, -5.04574373324673, -4.8283485335337915]"
17,254,14,"[-3.2061389731806242, -4.593260025680224, -4.295590807207709, -4.639977753115897, -2.161794035403383, -4.684700920425499, -4.472658198307324, -3.8372419887289757, -4.194356872085156, -4.681327797516998]"
18,124,13,"[-5.077550154005812, -4.381126645315074, -4.748853499172688, -2.3607707557103415, -4.371701947792619, -5.021414473411966, -3.6328619451213875, -4.41967730878453, -4.289463983458835, -2.4720039574608768]"
19,286,12,"[-4.2409195281618945, -3.7731769407956994, -4.643392875008924, -3.2327156056394903, -4.727067051819537, -3.3636528010988913, -4.637579276703296, -5.039270379350035, -4.376205205154727, -4.6271511480906415]"
20,345,13,"[-4.3471036030945935, -4.493754273647317, -5.0045092712240695, -3.194909049195678, -4.6052130769769, -3.2799072797076123, -4.895854564766694, -4.0224722361200795, -4.322889836115094, -2.953208153155912]"
21,409,9,"[-4.282389398219129, -4.913506876599724, -5.104210704268663, -3.8705564999094157, -4.248680268180249, -5.113617283061207, -4.07221072974855, -3.793842024171188, -4.703853334075477, -5.098929062745667]"
22,182,13,"[-4.617236666661674, -3.5183994779429444, -4.7251543422525035, -4.067062209217965, -4.991226619493641, -4.318293838583502, -4.109539749411999, -4.822541612273648, -4.157657983589159, -2.057574550309521]"
23,344,12,"[-4.820320931683364, -3.417583589661225, -4.181519479731087, -4.579692026982051, -4.162603388509971, -3.2185418139747948, -4.309680912148893, -4.8127717543237365, -4.367381567779177, -4.3065609053741865]"
24,198,11,"[-2.926277019723483, -3.112667157884226, -4.555755266073044, -5.085233897756933, -4.754431821399245, -5.063528843518518, -4.178851152941595, -4.6469316212628735, -4.303551360818972, -4.89139949371501]"
25,421,10,"[-4.956358447780542, -3.4278211063007813, -4.5909339713233965, -4.103145688287386, -5.056315296206719, -3.3304155796058117, -3.4411990362835834, -5.035739726140532, -4.274512848853708, -5.032237364321829]"
26,280,11,"[-3.062268462300665, -4.194219849314798, -4.257911318949218, -5.063732184456858, -4.4372759201853125, -4.3761112196147405, -4.891349777073353, -4.234096777482931, -4.03475116092656, -3.2500913321960097]"
