Run,Generation,Individual,Fitness
0,0,0,68
0,0,1,61
0,0,2,44
0,0,3,48
0,0,4,63
0,0,5,67
0,0,6,37
0,0,7,60
0,0,8,63
0,0,9,49
0,0,10,72
0,0,11,58
0,0,12,32
0,0,13,52
0,0,14,58
0,0,15,64
0,0,16,47
0,0,17,46
0,0,18,49
0,0,19,27
0,1,0,27
0,1,1,26
0,1,2,27
0,1,3,35
0,1,4,38
0,1,5,40
0,1,6,40
0,1,7,40
0,1,8,44
0,1,9,44
0,1,10,45
0,1,11,49
0,1,12,50
0,1,13,50
0,1,14,51
0,1,15,51
0,1,16,52
0,1,17,52
0,1,18,60
0,1,19,60
0,2,0,26
0,2,1,17
0,2,2,26
0,2,3,27
0,2,4,28
0,2,5,28
0,2,6,30
0,2,7,30
0,2,8,30
0,2,9,31
0,2,10,33
0,2,11,36
0,2,12,37
0,2,13,37
0,2,14,39
0,2,15,42
0,2,16,46
0,2,17,46
0,2,18,50
0,2,19,50
0,3,0,17
0,3,1,17
0,3,2,20
0,3,3,22
0,3,4,23
0,3,5,23
0,3,6,23
0,3,7,25
0,3,8,25
0,3,9,26
0,3,10,27
0,3,11,28
0,3,12,29
0,3,13,29
0,3,14,30
0,3,15,32
0,3,16,33
0,3,17,33
0,3,18,34
0,3,19,34
0,4,0,17
0,4,1,13
0,4,2,17
0,4,3,18
0,4,4,19
0,4,5,19
0,4,6,20
0,4,7,20
0,4,8,20
0,4,9,20
0,4,10,23
0,4,11,24
0,4,12,24
0,4,13,25
0,4,14,26
0,4,15,26
0,4,16,27
0,4,17,28
0,4,18,28
0,4,19,28
0,5,0,13
0,5,1,11
0,5,2,13
0,5,3,15
0,5,4,17
0,5,5,17
0,5,6,18
0,5,7,20
0,5,8,20
0,5,9,20
0,5,10,21
0,5,11,21
0,5,12,21
0,5,13,23
0,5,14,24
0,5,15,24
0,5,16,24
0,5,17,25
0,5,18,26
0,5,19,28
0,6,0,11
0,6,1,9
0,6,2,12
0,6,3,13
0,6,4,13
0,6,5,14
0,6,6,14
0,6,7,15
0,6,8,16
0,6,9,16
0,6,10,17
0,6,11,18
0,6,12,18
0,6,13,19
0,6,14,21
0,6,15,21
0,6,16,22
0,6,17,22
0,6,18,22
0,6,19,23
0,7,0,9
0,7,1,9
0,7,2,9
0,7,3,10
0,7,4,10
0,7,5,11
0,7,6,12
0,7,7,13
0,7,8,13
0,7,9,14
0,7,10,15
0,7,11,15
0,7,12,15
0,7,13,16
0,7,14,16
0,7,15,16
0,7,16,16
0,7,17,16
0,7,18,17
0,7,19,20
0,8,0,9
0,8,1,6
0,8,2,9
0,8,3,9
0,8,4,9
0,8,5,10
0,8,6,11
0,8,7,11
0,8,8,11
0,8,9,11
0,8,10,11
0,8,11,12
0,8,12,13
0,8,13,13
0,8,14,14
0,8,15,16
