Run,Generation,Fitness,Chromosome
0,342,0,"[-5.12, -5.12, -5.12, -5.12, -5.12, -5.07655923271589, -5.12, -5.096713244395546, -5.12, -5.083969749854581, -5.12, -5.0363981206589195, -5.12, -5.12, -5.12, -5.010031195032416, -5.12, -5.12, -5.12, -5.12, 0.13619243078182916, 6.2028247458259855, 2.5775017440541483, 0.304028740192943, 1.500220555237546, 0.18830963559276706, 3.117854834760647, 13.126398982793784, 0.19663556715842764, 0.09331796224541923, 0.45021652228867953, 0.1591372941336406, 1.3445692531604598, 0.2965181582885503, 0.43712189502774657, 0.10219591173193902, 1.2713151808068281, 0.14894756728602473, 8.06126943560167, 1.0502181172861607]"
1,2867,0,"[-5.12, -5.12, -5.12, -5.12, -5.115259792998322, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.0671246067545495, -5.12, -5.12, -5.12, -5.12, 0.1954957748804166, 0.18851446770172692, 6.316423288246437, 0.1563658433324265, 0.016279942322032375, 0.030372095847621253, 2.9599507020905764, 3.2912214405152533, 1.6382458806557254, 9.7792418117263, 3.151752443412772, 1.4849957470488446, 0.4803384126769949, 0.543028456037689, 0.8234118630384052, 0.014178999852233693, 0.10447788544306838, 6.062395374196684, 0.12194343537804543, 6.090941626397876]"
2,486,1,"[-4.251660375577787, -5.12, -5.12, -5.12, -5.12, -5.12, -5.1179417960407685, -5.12, -5.0511634337149625, -5.12, -5.097110503441332, -5.117855655176349, -5.12, -5.12, -5.12, -5.12, -5.12, -5.0401700724181735, -5.12, -5.069135265298966, 0.0046153797415586905, 1.7101432153886011, 0.3945144356772173, 0.20641554123357192, 16.80181240841708, 1.8148434625544558, 0.24404826454671658, 5.487718213278303, 1.5558817639006426, 0.9714420803637062, 0.8186605197921315, 0.01663555763562154, 0.1044068039549062, 9.439270247092368, 0.31975685902330775, 0.5612205573543155, 0.8417169829110278, 0.02631069449120627, 0.7972193325475856, 0.38831094137171956]"
3,916,0,"[-5.12, -5.12, -5.12, -5.118870580297376, -5.12, -5.098907915196896, -5.12, -5.12, -5.12, -5.12, -5.12, -5.009373825973344, -5.1180376438632695, -5.12, -5.12, -5.12, -5.085787430618723, -5.12, -5.065268373379904, -5.052815553076543, 0.22665062228671712, 0.07443341716402516, 0.22181977218735782, 0.05541544730032819, 0.31453222248530494, 0.4892534646664085, 8.769562615429603, 2.1765632641141153, 5.31490086211553, 2.154368185280754, 0.5378474102085862, 0.19237097756237898, 0.026456314267958688, 0.006071896991497316, 36.800874859820475, 1.560402697341437, 0.20478034077412138, 0.20624929428728284, 0.127971390964735, 0.24878026351440066]"
4,200,5,"[-5.12, -5.12, -5.084112983167126, -5.12, -5.12, -0.7169296521149678, -5.12, -5.12, -5.118124432822979, -5.12, -5.12, -5.12, -5.12, -5.066801008651137, -5.12, -5.089486479528168, -5.106944254548652, -5.12, -5.12, -5.030839006524154, 2.4968801200007467, 24.91334016674488, 0.10677271624630004, 2.8667092623438553, 0.790945318232609, 0.0037268914297220175, 0.30702986927350867, 0.759887746439247, 0.13329949513330253, 1.173844137720909, 0.9252553336535365, 0.17461790617513703, 3.627555586325982, 0.02171570782471213, 7.369687659645212, 0.0629828113863633, 0.009876065437587516, 0.035201155338836644, 1.5882904841370085, 2.9361972992181613]"
5,1052,1,"[-4.084196933280258, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.076358645844604, -5.12, -5.12, -5.12, -5.12, -5.12, -5.0259110659489625, -5.077311006122281, -5.12, -5.12, -5.12, -5.046632104054855, 0.0061494333216306, 0.7568146357172628, 5.1691139908277615, 0.5733206747100291, 2.4878270046681883, 0.4034589632392308, 0.3450158063328897, 0.3684733305997727, 0.8870369075844433, 0.411785107635692, 1.861821566512402, 0.03480362848462468, 2.0223216867644362, 0.41036722548531773, 0.04018981513670891, 1.0084237633675746, 16.590196806121224, 0.3550261469098299, 0.5744815482819455, 0.2586597870663409]"
6,890,2,"[-5.032595782848666, -5.12, -5.077078001192746, -5.12, -5.039726011403412, -5.12, -5.12, -5.12, -5.093587415536019, -5.12, -5.12, -5.085469607180029, -3.198246583660238, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, 0.09896781670725976, 0.6706504799287172, 0.06150160556459314, 0.8103311355021745, 1.4707733759877732, 0.26448154186805084, 0.12582046854777096, 3.0056656921429394, 0.009359407952354444, 2.6517177639183767, 136.51947006520527, 0.016668794080825465, 0.001742187772133967, 0.8934673946235667, 0.13702029673154822, 0.1533358765461452, 0.1525202424158382, 3.5492980915662202, 1.0961090816468957, 0.2093581175817521]"
7,655,5,"[-5.12, -5.12, -5.061233497272298, -5.12, -5.12, -5.048646835867883, -5.12, -5.003566026302592, -5.1150483950713985, -5.12, -2.262400206401804, -5.12, -5.12, -5.12, -5.112838986826979, -5.111662453686436, -5.12, -5.106990569450557, -4.490998654472029, -4.1853183226139, 3.8368132896566487, 0.4484258143494196, 0.4075441156366461, 0.2509284965332208, 2.362297757521875, 0.6552176095086722, 30.123988127291973, 0.019960026763395994, 0.023626081218512788, 1.7411879731260784, 0.0027819597633880863, 0.15980056432172413, 0.18150632525671578, 0.025824497604819835, 0.20493923178741225, 0.0435656921620724, 0.068377965683408, 0.012976296298772387, 0.0017579414218548968, 0.008288325567992938]"
8,1489,0,"[-5.12, -5.12, -5.09844675143297, -5.12, -5.02260537179144, -5.0338011968700505, -5.12, -5.12, -5.12, -5.12, -5.0131636604338965, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.0650757021016055, -5.12, -5.12, 0.010310836673037083, 2.2311793557741186, 0.3482489480904344, 2.2412431098696093, 0.08905785733083085, 5.454305361908872, 2.1593227875459458, 0.6352599759558494, 15.30030118186658, 17.37394398413318, 0.28921070286923145, 0.7953267241860321, 0.6142237150509947, 4.537131504924041, 0.27391205237308097, 3.9743610177492146, 2.5176401114291265, 0.0486349780713476, 0.4624419434092787, 0.27271485117646377]"
9,1347,0,"[-5.12, -5.12, -5.096013533897215, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.070453839783286, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, -5.12, 0.9229546755681171, 1.2990341738473832, 0.07032218704985593, 5.078523009107645, 2.3573525822907477, 2.702939943983717, 2.037170358082029, 0.04241373386296589, 1.0699722609184625, 1.57102041134226, 0.11199804516533181, 0.29650809057621713, 0.4662538362933189, 0.38527679299370476, 2.0635836833184915, 1.0483712516590333, 1.692628002215739, 0.3114104422160276, 3.862334534994577, 0.09802716471669101]"
